Time,Temp,Volt
0.0,47.56860160827637,51.21
0.5,47.552287101745605,51.71
1.0,47.550475120544434,51.9
1.5,47.54503536224365,52.17
2.0,47.54141044616699,52.4
2.5,47.540504455566406,52.57
3.0,47.525094985961914,53.05
3.5,47.525094985961914,53.2
4.0,47.52418899536133,53.37
4.5,47.516032218933105,53.7
5.0,47.50606060028076,54.07
5.5,47.49790287017822,54.39
6.0,47.493370056152344,54.65
6.5,47.483399391174316,55.01
7.0,47.475242614746094,55.34
7.5,47.46255302429199,55.77
8.0,47.458022117614746,56.02
8.5,47.45077037811279,56.33
9.0,47.45513439178467,56.4
9.5,47.446237564086914,56.75
10.0,47.44335079193115,56.97
10.5,47.43791389465332,57.24
11.0,47.42357921600342,57.7
11.5,47.41978359222412,57.94
12.0,47.41343975067139,58.24
12.5,47.40528106689453,58.57
13.0,47.39168643951416,59.02
13.5,47.37537097930908,59.53
14.0,47.36919593811035,59.82
14.5,47.35361957550049,60.31
15.0,47.33277130126953,60.92
15.5,47.327500343322754,61.2
16.0,47.32008171081543,61.52
16.5,47.317362785339355,61.74
17.0,47.31645488739014,61.93
17.5,47.32189464569092,61.98
18.0,47.3218936920166,62.15
18.5,47.31282901763916,62.51
19.0,47.30739116668701,62.79
19.5,47.30195236206055,63.08
20.0,47.31554889678955,62.96
20.5,47.31917381286621,63.05
21.0,47.318267822265625,63.24
21.5,47.3218936920166,63.33
22.0,47.31645584106445,63.61
22.5,47.307390213012695,63.97
23.0,47.30739116668701,64.14
23.5,47.3092041015625,64.27
24.0,47.311923027038574,64.38
24.5,47.318267822265625,64.41
25.0,47.31282997131348,64.69
25.5,47.32718086242676,64.56
26.0,47.338210105895996,64.49
26.5,47.34999179840088,64.41
27.0,47.36268138885498,64.31
27.5,47.38534069061279,64.0
28.0,47.40346813201904,63.78
28.5,47.4116268157959,63.77
29.0,47.41706466674805,63.82
29.5,47.44335079193115,63.43
30.0,47.46601104736328,63.11
30.5,47.489577293395996,62.77
31.0,47.49954605102539,62.72
31.5,47.513142585754395,62.59
32.0,47.5385217666626,62.21
32.5,47.55030536651611,62.11
33.0,47.57462787628174,61.75
33.5,47.594719886779785,61.48
34.0,47.60378360748291,61.44
34.5,47.61194133758545,61.42
35.0,47.62191200256348,61.36
35.5,47.64003849029541,61.13
36.0,47.643513679504395,61.2
36.5,47.65182304382324,61.17
37.0,47.65182304382324,61.32
37.5,47.669949531555176,61.08
38.0,47.67901420593262,61.04
38.5,47.688076972961426,60.99
39.0,47.698954582214355,60.91
39.5,47.71255111694336,60.77
40.0,47.717082023620605,60.81
40.5,47.723276138305664,60.83
41.0,47.739742279052734,60.62
41.5,47.744123458862305,60.67
42.0,47.73959159851074,60.91
42.5,47.74593544006348,60.91
43.0,47.75681400299072,60.83
43.5,47.76315784454346,60.83
44.0,47.7667818069458,60.9
44.5,47.76784133911133,61.01
