Time,Ave_Temp,Volt,Temp1,Temp2,Temp3,Room_Temp
0.0,45.033467610677086,62.11,44.99842071533203,46.383392333984375,43.718589782714844,23.75403594970703
0.5,45.03696060180664,62.09,44.99103546142578,46.401390075683594,43.71845626831055,23.7796573638916
1.0,45.035882314046226,62.13,44.99116516113281,46.39064407348633,43.72583770751953,23.7797908782959
1.5,45.046759287516274,62.01,45.00566864013672,46.39789581298828,43.73671340942383,23.834980010986328
2.0,45.02621587117513,62.3,44.99842071533203,46.35076141357422,43.72946548461914,23.879131317138672
2.5,45.022589365641274,62.37,44.96216583251953,46.39426803588867,43.711334228515625,23.886489868164062
3.0,45.02030563354492,62.42,44.95504379272461,46.390777587890625,43.71509552001953,23.908702850341797
3.5,45.022589365641274,62.42,44.92953109741211,46.41239929199219,43.72583770751953,23.908565521240234
4.0,45.034674326578774,62.29,44.940406799316406,46.43052673339844,43.733089447021484,23.923282623291016
4.5,45.03950881958008,62.25,44.947662353515625,46.419647216796875,43.751216888427734,23.949037551879883
5.0,45.03225835164388,62.37,44.925907135009766,46.405147552490234,43.76572036743164,23.978471755981445
5.5,45.01775614420573,62.58,44.90052795410156,46.387020111083984,43.76572036743164,23.956396102905273
6.0,45.002044677734375,62.8,44.867897033691406,46.37614440917969,43.76209259033203,23.934322357177734
6.5,44.97787348429362,63.12,44.83889389038086,46.33625793457031,43.75846862792969,23.91224479675293
7.0,44.96350351969401,63.33,44.810020446777344,46.311012268066406,43.76947784423828,23.90502166748047
7.5,44.94766108194987,63.55,44.78813552856445,46.27825164794922,43.77659606933594,23.91960334777832
8.0,44.94658660888672,63.59,44.76288986206055,46.26388168334961,43.81298828125,23.963891983032227
8.5,44.93087514241537,63.81,44.74113464355469,46.242130279541016,43.80936050415039,23.974929809570312
9.0,44.939334869384766,63.73,44.75926208496094,46.26750946044922,43.79123306274414,24.00804328918457
9.5,44.94296010335287,63.71,44.7701416015625,46.278385162353516,43.78035354614258,24.033796310424805
10.0,44.929667154947914,63.9,44.75926208496094,46.25663375854492,43.77310562133789,24.044836044311523
10.5,44.91999816894531,64.05,44.74838638305664,46.25663375854492,43.754974365234375,24.041156768798828
11.0,44.94296010335287,63.79,44.7810173034668,46.296512603759766,43.75135040283203,24.07794952392578
11.5,44.95853805541992,63.62,44.795387268066406,46.325382232666016,43.754844665527344,24.059417724609375
12.0,44.981499989827476,63.36,44.82801818847656,46.35801315307617,43.75846862792969,24.059417724609375
12.5,44.98646799723307,63.32,44.84990310668945,46.36177444458008,43.74772644042969,24.05219268798828
13.0,45.004461924235024,63.12,44.88240051269531,46.39064407348633,43.74034118652344,24.037342071533203
13.5,45.03359858194987,62.78,44.92604064941406,46.43065643310547,43.74409866333008,24.05587387084961
14.0,45.04796854654948,62.63,44.925907135009766,46.45227813720703,43.76572036743164,24.033662796020508
14.5,45.07939147949219,62.26,44.987545013427734,46.46678161621094,43.78384780883789,24.05573844909668
15.0,45.095235188802086,62.08,44.991302490234375,46.47416687011719,43.82023620605469,24.066911697387695
15.5,45.11577860514323,61.85,45.01667785644531,46.481414794921875,43.8492431640625,24.026439666748047
16.0,45.119406382242836,61.83,45.00217819213867,46.488670349121094,43.86737060546875,24.00804328918457
16.5,45.11698786417643,61.89,44.97679901123047,46.481414794921875,43.89274978637695,24.004364013671875
17.0,45.11819585164388,61.9,44.98042297363281,46.466915130615234,43.907249450683594,23.978607177734375
17.5,45.12303034464518,61.86,44.98042297363281,46.47416687011719,43.91450119018555,23.956531524658203
18.0,45.121822357177734,61.9,44.95867156982422,46.485042572021484,43.9217529296875,23.9602108001709
18.5,45.131491343180336,61.8,44.98405075073242,46.466915130615234,43.94350814819336,23.949172973632812
19.0,45.13135782877604,61.83,44.980289459228516,46.463157653808594,43.950626373291016,23.945358276367188
19.5,45.137533823649086,61.78,44.991302490234375,46.448787689208984,43.972511291503906,23.923418045043945
20.0,45.137532552083336,61.8,44.98405075073242,46.44153594970703,43.98701095581055,23.882946014404297
20.5,45.14599100748698,61.72,44.98042297363281,46.45603561401367,44.00151443481445,23.882946014404297
21.0,45.14720153808594,61.73,44.96229553222656,46.45966339111328,44.01964569091797,23.8792667388916
21.5,45.16653823852539,61.51,44.98042297363281,46.49954605102539,44.01964569091797,23.8792667388916
22.0,45.17499796549479,61.43,44.98405075073242,46.51042175292969,44.030521392822266,23.875587463378906
22.5,45.19312540690104,61.23,45.01305389404297,46.521297454833984,44.04502487182617,23.85719108581543
23.0,45.21487808227539,60.98,45.04206085205078,46.539424896240234,44.063148498535156,23.84247398376465
23.5,45.243882497151695,60.64,45.07468795776367,46.56480407714844,44.09215545654297,23.838794708251953
24.0,45.259595235188804,60.47,45.08919143676758,46.59743881225586,44.09215545654297,23.868228912353516
24.5,45.26926294962565,60.37,45.07106399536133,46.63369369506836,44.103031158447266,23.897663116455078
25.0,45.2801399230957,60.26,45.085567474365234,46.63006591796875,44.124786376953125,23.930776596069336
25.5,45.29101689656576,60.14,45.11819839477539,46.61919021606445,44.13566207885742,23.963891983032227
26.0,45.3043098449707,60.0,45.12907409667969,46.6373176574707,44.14653778076172,23.941814422607422
26.5,45.3031005859375,60.04,45.08919143676758,46.64094161987305,44.179168701171875,23.901342391967773
27.0,45.31277084350586,59.94,45.107322692871094,46.63006591796875,44.200923919677734,23.890304565429688
27.5,45.33694203694662,59.66,45.143577575683594,46.62281799316406,44.24443054199219,23.8792667388916
28.0,45.347948710123696,59.55,45.179962158203125,46.59756851196289,44.26631546020508,23.897794723510742
