Time,Ave_Temp,Volt,Integral,Channel2,Channel3,Channel4
0.0,43.64964294433594,73,3.1751785278320312,42.060428619384766,44.6781005859375,44.21039962768555
0.4,43.6605224609375,73,6.344917297363281,42.08943557739258,44.70348358154297,44.18864822387695
0.8,43.6871083577474,69.73,9.501363118489582,42.12931442260742,44.74336242675781,44.18864822387695
1.2,43.7100715637207,73,12.64632733662923,42.176448822021484,44.76511764526367,44.18864822387695
1.6,43.7307497660319,73,15.780952453613281,42.24184036254883,44.779754638671875,44.170654296875
2.0,43.7476692199707,73,18.90711784362793,42.24909210205078,44.816009521484375,44.17790603637695
2.4,43.75250244140625,73,22.030866622924805,42.26721954345703,44.834136962890625,44.156150817871094
2.8,43.739210764567055,73,25.161261240641277,42.27084732055664,44.79425811767578,44.15252685546875
3.2,43.738152821858726,73,28.292184829711914,42.249244689941406,44.801658630371094,44.16355514526367
3.6,43.75265375773112,73,31.415857950846355,42.28912353515625,44.83066177368164,44.13817596435547
4.0,43.770782470703125,73,34.530466715494796,42.32900619506836,44.84516525268555,44.13817596435547
4.4,43.79253641764323,73,37.63419850667319,42.35801315307617,44.8632926940918,44.15630340576172
4.8,43.80582936604818,73,40.73128382364909,42.383392333984375,44.87779235839844,44.15630340576172
5.2,43.81322733561198,73,43.82467015584311,42.416168212890625,44.8670654296875,44.15644836425781
5.6,43.78422419230143,73,46.9325580596924,42.383541107177734,44.78730392456055,44.181827545166016
6.0,43.78180821736654,73,50.041653951009124,42.35816192626953,44.77642822265625,44.21083450317383
6.4,43.80960210164388,73,53.13685290018718,42.38716506958008,44.80905532836914,44.23258590698242
6.8,43.819271087646484,73,56.22721735636394,42.419795989990234,44.81993103027344,44.21808624267578
7.2,43.83872095743815,73,59.307856877644866,42.44891357421875,44.8164176940918,44.250831604003906
7.6,43.82905197143555,73,62.39333089192709,42.434410095214844,44.77291488647461,44.27983093261719
8.0,43.82421747843424,73,65.48122215270998,42.40177917480469,44.75115966796875,44.3197135925293
8.4,43.847180684407554,73,68.5576318105062,42.416282653808594,44.769287109375,44.35597229003906
8.8,43.857016245524086,73,71.62912368774415,42.41282653808594,44.75495147705078,44.40327072143555
9.2,43.881186167399086,73,74.68853060404462,42.43457794189453,44.75132751464844,44.4576530456543
9.6,43.896898905436196,73,77.74008115132652,42.423702239990234,44.75132751464844,44.51566696166992
10.0,43.902940114339195,73,80.78861109415692,42.43457794189453,44.725948333740234,44.54829406738281
10.4,43.91260782877604,73,83.8323071797689,42.420074462890625,44.71869659423828,44.59905242919922
10.8,43.96578470865885,73,86.84941482543948,42.47446060180664,44.783958435058594,44.63893508911133
11.2,44.01049931844076,73,89.8441651662191,42.53971862792969,44.82746505737305,44.66431427001953
11.6,44.06367492675781,73,92.8123277028402,42.6412353515625,44.885475158691406,44.66431427001953
12.0,44.1218376159668,73,95.7514088948568,42.739280700683594,44.95451354980469,44.67171859741211
12.4,44.17984390258789,73,98.66148694356285,42.8371696472168,45.02702331542969,44.67533874511719
12.8,44.243896484375,73,101.53953870137535,42.95318603515625,45.077781677246094,44.700721740722656
13.2,44.30432383219401,73,104.38737678527835,43.05833053588867,45.13579177856445,44.718849182128906
13.6,44.37200037638346,73,107.20137659708662,43.174346923828125,45.19380187988281,44.74785232543945
14.0,44.420492808024086,73,109.99113019307458,43.25788879394531,45.22295379638672,44.780635833740234
14.4,44.466417948404946,73,112.75792121887211,43.31589889526367,45.27008819580078,44.81326675415039
14.8,44.53409322102865,73,115.49087460835779,43.41741180419922,45.32809829711914,44.85676956176758
15.2,44.59331130981445,73,118.19421895345056,43.508052825927734,45.37522888183594,44.89665222167969
15.6,44.61989974975586,73,120.88426907857263,43.562435150146484,45.37885665893555,44.91840744018555
16.0,44.63319396972656,73,123.56767209370935,43.584190368652344,45.34622573852539,44.96916580200195
16.4,44.64178339640299,73,126.24678039550786,43.57344436645508,45.335479736328125,45.01642608642578
16.8,44.66232935587565,73,128.91561571757003,43.55168914794922,45.36448669433594,45.0708122253418
17.2,44.70825322469076,73,131.56148910522467,43.60969924926758,45.415245056152344,45.099815368652344
17.6,44.75659434000651,73,134.1831919352214,43.6785888671875,45.45874786376953,45.1324462890625
18.0,44.79768371582031,73,136.78435007731125,43.72209167480469,45.487754821777344,45.183204650878906
18.4,44.84132512410482,73,139.36368751525885,43.772987365722656,45.527767181396484,45.22322082519531
18.8,44.88483174641927,73,141.92127164204922,43.8128662109375,45.567649841308594,45.27397918701172
19.2,44.92592239379883,73,144.4583104451498,43.87812805175781,45.614784240722656,45.284854888916016
19.6,44.96821975708008,73,146.97420056660977,43.943389892578125,45.6437873840332,45.317481994628906
20.0,45.01431020100912,73,149.46704546610522,44.02694320678711,45.66933059692383,45.346656799316406
20.4,45.02035140991211,73,151.95686976114916,44.0233154296875,45.65845489501953,45.3792839050293
20.8,45.022769927978516,73,154.4454847971599,44.008811950683594,45.629451751708984,45.43004608154297
21.2,45.03968811035156,73,156.92564074198413,44.01968765258789,45.651206970214844,45.44816970825195
21.6,45.06627527872721,73,159.3925031026205,44.0341911315918,45.69470977783203,45.46992492675781
22.0,45.10991668701172,73,161.83754475911465,44.09596252441406,45.75647735595703,45.47731018066406
22.4,45.16671625773112,73,164.25418663024908,44.190223693847656,45.81086349487305,45.499061584472656
22.8,45.21989313761393,73,166.6442400614421,44.26636505126953,45.876121520996094,45.51719284057617
23.2,45.27790451049805,73,169.00528780619308,44.331626892089844,45.93413543701172,45.56795120239258
23.6,45.31672668457031,73,171.34692446390792,44.411537170410156,45.93791198730469,45.600730895996094
24.0,45.31536610921224,73,173.68924140930181,44.37875747680664,45.91238021850586,45.65496063232422
24.4,45.36144129435221,73,176.0085207621257,44.41878890991211,45.95241165161133,45.7131233215332
24.8,45.340745290120445,73,178.3381481170655,44.37512969970703,45.85799789428711,45.78910827636719
25.2,45.32155990600586,73,180.67736816406256,44.28826904296875,45.811012268066406,45.86539840698242
25.6,45.314309438069664,73,183.02021344502774,44.22663116455078,45.77113342285156,45.94516372680664
26.0,45.305999755859375,73,185.36721356709805,44.161521911621094,45.73865509033203,46.017822265625
26.4,45.33016840616862,73,187.70212936401373,44.17239761352539,45.76403045654297,46.0540771484375
26.8,45.31204350789388,73,190.0461076100668,44.103515625,45.69877243041992,46.13384246826172
27.2,45.26249440511068,73,192.41486040751147,44.034629821777344,45.56825256347656,46.184600830078125
27.6,45.25897725423177,73,194.7853717803956,43.965850830078125,45.57923889160156,46.231842041015625
28.0,45.26018524169922,73,197.15527915954598,43.93321990966797,45.553855895996094,46.293479919433594
28.4,45.29765192667643,73,199.50645319620776,43.915096282958984,45.61549377441406,46.36236572265625
28.8,45.357964833577476,73,201.82747077941903,43.97661590576172,45.68789291381836,46.409385681152344
29.2,45.442674001057945,73,204.10613377889007,44.09274673461914,45.793148040771484,46.4421272277832
29.6,45.489977518717446,73,206.36114501953134,44.16180419921875,45.81144714355469,46.496681213378906
30.0,45.515185038248696,73,208.60355250040698,44.183387756347656,45.81489944458008,46.54726791381836
30.4,45.53227742513021,73,210.83741378784188,44.20893859863281,45.80057144165039,46.58732223510742
30.8,45.5188102722168,73,213.07800865173348,44.1761360168457,45.73876190185547,46.64153289794922
31.2,45.539527893066406,73,215.30824470520028,44.158180236816406,45.75343704223633,46.706966400146484
31.6,45.55644861857096,73,217.5300203959148,44.13642501831055,45.789695739746094,46.74322509765625
32.0,45.56868362426758,73,219.745678583781,44.14745330810547,45.76446533203125,46.794132232666016
32.4,45.55418141682943,73,221.9685878753663,44.07131576538086,45.7572135925293,46.834014892578125
32.8,45.60373051961263,73,224.16672261556,44.125701904296875,45.8297233581543,46.85576629638672
33.2,45.67382558186849,73,226.32980982462576,44.234466552734375,45.92399215698242,46.86301803588867
33.6,45.74271138509115,73,228.4584541320802,44.368614196777344,46.021881103515625,46.83763885498047
34.0,45.80193074544271,73,230.55748875935885,44.50276184082031,46.101646423339844,46.80138397216797
34.4,45.846795399983726,73,232.634091059367,44.60080337524414,46.15617752075195,46.78340530395508
34.8,45.92036437988281,73,234.6739088694256,44.72029495239258,46.2430419921875,46.79775619506836
35.2,45.99786249796549,73,236.67497762044283,44.879974365234375,46.29395294189453,46.81966018676758
35.6,46.03290939331055,73,238.65852292378756,44.90897750854492,46.333831787109375,46.855918884277344
36.0,46.05828857421875,73,240.62937863667818,44.94160842895508,46.355587005615234,46.87767028808594
36.4,46.12234115600586,73,242.56820805867525,45.028621673583984,46.41722106933594,46.921180725097656
36.8,46.173099517822266,73,244.48165829976412,45.104759216308594,46.47160720825195,46.94293212890625
37.2,46.2143185933431,73,246.37449900309258,45.15927505493164,46.51886749267578,46.964813232421875
37.6,46.26762898763021,73,248.2406845092775,45.22467041015625,46.57701110839844,47.00120544433594
38.0,46.313551584879555,73,250.0839087168377,45.27180099487305,46.62051773071289,47.048336029052734
38.4,46.347390492757164,73,251.91021347045913,45.31167984008789,46.627769470214844,47.10272216796875
38.8,46.38847986857096,73,253.71597353617364,45.34793472290039,46.674903869628906,47.142601013183594
39.2,46.430948893229164,73,255.50049908955904,45.4169921875,46.70770263671875,47.16815185546875
39.6,46.46099344889323,73,257.2700023651124,45.44582748413086,46.72566223144531,47.211490631103516
40.0,46.48412322998047,73,259.0279407501222,45.467750549316406,46.74395751953125,47.24066162109375
40.4,46.52037811279297,73,260.7677516937257,45.489501953125,46.79833984375,47.273292541503906
40.8,46.56159973144531,73,262.48695182800304,45.52951431274414,46.84197998046875,47.31330490112305
41.2,46.637736002604164,73,264.168083826701,45.638282775878906,46.918113708496094,47.3568115234375
41.6,46.66915766398112,73,265.83350499471044,45.696292877197266,46.93986892700195,47.37131118774414
42.0,46.71266555786133,73,267.4771722157798,45.73255157470703,46.9797477722168,47.425697326660156
42.4,46.76583989461263,73,269.09425226847344,45.79780960083008,47.0413818359375,47.45832824707031
42.8,46.822792053222656,73,270.6828562418621,45.88134765625,47.08866882324219,47.49835968017578
43.2,46.86992518107096,73,272.24789365132665,45.9429817199707,47.121299743652344,47.545494079589844
43.6,46.88699467976888,73,273.8043963114422,45.96126174926758,47.0960693359375,47.60365295410156
44.0,46.897719065348305,73,275.35553677876806,45.939353942871094,47.09229278564453,47.6615104675293
44.4,46.942586263020836,73,276.8842436472576,45.96488571166992,47.13595199584961,47.72692108154297
44.8,46.9981803894043,73,278.38515345255547,46.04102325439453,47.20121383666992,47.75230407714844
45.2,47.05498123168945,73,279.85766283671074,46.117164611816406,47.24834442138672,47.799434661865234
45.6,47.04421615600586,73,281.3355547587078,46.11727523803711,47.161441802978516,47.85393142700195
