Time,Ave_Temp,Volt,Integral,Channel2,Channel3,Channel4
0.0,42.55162239074707,73,3.724188804626465,41.46847915649414,42.97309875488281,43.031105041503906,42.73380661010742
0.5,42.518086433410645,73,7.465145587921143,41.40684509277344,42.83169937133789,43.06373596191406,42.77006530761719
1.0,42.517178535461426,73,11.20655632019043,41.36333465576172,42.80994415283203,43.09999084472656,42.79544448852539
1.5,42.528964042663574,73,14.942074298858643,41.34883499145508,42.838951110839844,43.10724639892578,42.820823669433594
2.0,42.533493995666504,73,18.67532730102539,41.34520721435547,42.80632019042969,43.13624572753906,42.8462028503418
2.5,42.533324241638184,73,22.4086651802063,41.33778762817383,42.8424072265625,43.12882614135742,42.824275970458984
3.0,42.524258613586426,73,26.146535873413086,41.31603240966797,42.84602737426758,43.12882614135742,42.806148529052734
3.5,42.5371208190918,73,29.877975463867188,41.359710693359375,42.8824577331543,43.08186721801758,42.82444763183594
4.0,42.56595420837402,73,33.594998359680176,41.388545989990234,42.9257926940918,43.117950439453125,42.83152770996094
4.5,42.557966232299805,73,37.31601524353027,41.42496871948242,42.97309875488281,43.06010818481445,42.77368927001953
5.0,42.56595420837402,73,41.03303813934326,41.49005889892578,43.023685455322266,43.023685455322266,42.72638702392578
5.5,42.569579124450684,73,44.74824857711792,41.56619644165039,43.023685455322266,42.99467849731445,42.693756103515625
6.0,42.56051445007324,73,48.4679913520813,41.58795166015625,43.04180908203125,42.987430572509766,42.6248664855957
6.5,42.56051445007324,73,52.18773412704468,41.58795166015625,42.99830627441406,43.00555419921875,42.650245666503906
7.0,42.58498764038086,73,55.89524030685425,41.591575622558594,43.04543685913086,43.03818893432617,42.66474914550781
7.5,42.62668228149414,71.82,59.58189916610718,41.66771697998047,43.11069869995117,43.06356430053711,42.66474914550781
8.0,42.65296745300293,73,63.25541543960571,41.72209548950195,43.117950439453125,43.09257125854492,42.67925262451172
8.5,42.68106460571289,73,66.91488313674927,41.73659896850586,43.096195220947266,43.16145324707031,42.730010986328125
9.0,42.6837854385376,73,70.57299041748047,41.76560592651367,43.13970184326172,43.12882614135742,42.70100784301758
9.5,42.73907661437988,61.64,74.20345211029053,41.86349868774414,43.20496368408203,43.17958450317383,42.70825958251953
10.0,42.7635498046875,73,77.82167720794678,41.91425704956055,43.20859146118164,43.18321228027344,42.748138427734375
10.5,42.74542045593262,73,81.44896697998047,41.87437438964844,43.10707092285156,43.248470306396484,42.751766204833984
11.0,42.76978015899658,73,85.06407690048218,41.925018310546875,43.19034957885742,43.24110794067383,42.7226448059082
11.5,42.82246398925781,63.59,88.65284490585327,42.015769958496094,43.26297378540039,43.270225524902344,42.74088668823242
12.0,42.85328006744385,73,92.22620487213135,42.0774040222168,43.320980072021484,43.27384948730469,42.74088668823242
12.5,42.91944885253906,53.09,95.76648044586182,42.18617248535156,43.37899398803711,43.324607849121094,42.788021087646484
13.0,42.951171875,73,99.29089450836182,42.28044128417969,43.45512771606445,43.320980072021484,42.748138427734375
13.5,43.00102424621582,64.42,102.7903823852539,42.381954193115234,43.48775863647461,43.353614807128906,42.78076934814453
14.0,43.07342338562012,47.37,106.25367069244385,42.483360290527344,43.5347785949707,43.42601013183594,42.849544525146484
14.5,43.1079797744751,73,109.6996808052063,42.50160217285156,43.57477569580078,43.484134674072266,42.87140655517578
15.0,43.15046691894531,68.62,113.12444734573364,42.592124938964844,43.60729217529297,43.51665115356445,42.885799407958984
15.5,43.21221351623535,54.09,116.51834058761597,42.66837692260742,43.67628860473633,43.56752014160156,42.936668395996094
16.0,43.26195430755615,62.42,119.88736343383789,42.719024658203125,43.73418426513672,43.60729217529297,42.9873161315918
16.5,43.29005146026611,73,123.24233770370483,42.81328582763672,43.77406692504883,43.61091613769531,42.961936950683594
17.0,43.312710762023926,73,126.58598232269287,42.89304733276367,43.83207702636719,43.60729217529297,42.918426513671875
17.5,43.33899688720703,73,129.91648387908936,43.01994705200195,43.87195587158203,43.578285217285156,42.885799407958984
18.0,43.379783630371094,68.43,133.2265920639038,43.052574157714844,43.91183853149414,43.63991928100586,42.91480255126953
18.5,43.38794136047363,73,136.532621383667,43.0743293762207,43.92271423339844,43.64717102050781,42.90755081176758
19.0,43.44141960144043,58.93,139.81191158294678,43.117835998535156,43.91183853149414,43.748687744140625,42.9873161315918
19.5,43.47132968902588,73,143.07624673843384,43.052574157714844,43.88645935058594,43.861080169677734,43.085205078125
20.0,43.540215492248535,46.96,146.30613899230957,43.05620193481445,43.96622085571289,43.96622085571289,43.172218322753906
