Time,Ave_Temp,Channel 2,Channel 3,Channel 4,Channel 5,Volt,Integral_Value
0.0,43.017331504821776,41.226375579833984,43.6083869934082,42.738243103027344,21.77680015563965,73,3.491334247589112
0.5,43.035220527648924,41.22650909423828,43.63752746582031,42.720252990722656,21.769573211669922,60.73,6.97372398376465
1.0,43.05383434295654,41.24101257324219,43.6556510925293,42.71662521362305,21.758535385131836,60.09,10.446806812286379
1.5,43.072085571289065,41.23738479614258,43.677406311035156,42.687618255615234,21.76221466064453,60.21,13.910764026641846
2.0,43.091605758666994,41.22650909423828,43.677406311035156,42.71299743652344,21.74749755859375,59.18,17.36496114730835
2.5,43.1116849899292,41.2230339050293,43.68843460083008,42.71315002441406,21.740293502807617,58.64,20.80911865234375
3.0,43.1301176071167,41.233760833740234,43.70278549194336,42.66586685180664,21.736459732055664,59.66,24.244059848785398
3.5,43.14746265411377,41.212005615234375,43.64840316772461,42.6984977722168,21.73278045654297,60.29,27.670328521728514
4.0,43.16498908996582,41.20838165283203,43.61214828491211,42.738380432128906,21.725421905517578,60.04,31.087833976745603
4.5,43.18253040313721,41.233909606933594,43.57966613769531,42.77116012573242,21.736614227294922,59.91,34.496568775176996
5.0,43.183102989196776,41.23028564453125,43.58329391479492,42.77478790283203,21.72925567626953,71.84,37.905017280578605
5.5,43.18094253540039,41.25204086303711,43.5035285949707,42.81104278564453,21.751331329345703,73,41.31454601287841
6.0,43.179507446289065,41.2737922668457,43.52528381347656,42.81829071044922,21.7550106048584,73,44.72479228973388
6.5,43.17716598510742,41.2484130859375,43.53253173828125,42.78566360473633,21.747652053833008,73,48.136209297180166
7.0,43.17625980377197,41.26276397705078,43.557762145996094,42.814517974853516,21.743818283081055,73,51.54807939529418
7.5,43.17354049682617,41.21578598022461,43.59779357910156,42.74940490722656,21.758689880371094,73,54.96130914688109
8.0,43.17119884490967,41.19403076171875,43.565162658691406,42.756656646728516,21.751331329345703,73,58.37570972442626
8.5,43.172482872009276,41.23028564453125,43.608673095703125,42.76390838623047,21.743972778320312,71.87,61.78946828842162
9.0,43.17721099853516,41.262916564941406,43.641300201416016,42.80379104614258,21.747652053833008,69.47,65.20086278915403
9.5,43.183555603027344,41.27742004394531,43.637672424316406,42.84004592895508,21.758689880371094,68.33,68.60908498764036
10.0,43.19207553863525,41.29554748535156,43.68843460083008,42.84004592895508,21.7550106048584,66.78,72.01304721832273
10.5,43.20476512908935,41.25204086303711,43.72831726074219,42.84004592895508,21.762367248535156,63.79,75.41066465377804
11.0,43.21635208129883,41.270015716552734,43.735416412353516,42.83989715576172,21.776931762695312,64.5,78.80248861312863
11.5,43.22958545684814,41.299171447753906,43.71381378173828,42.869049072265625,21.79180335998535,63.26,82.18769588470457
12.0,43.24210872650146,41.29554748535156,43.74281692504883,42.87992858886719,21.788124084472656,63.69,85.56664152145383
12.5,43.25695877075195,41.29902267456055,43.757171630859375,42.887027740478516,21.776931762695312,61.96,88.93816213607786
13.0,43.27525291442871,41.288143157958984,43.789798736572266,42.89790344238281,21.7879695892334,59.42,92.30053567886351
13.5,43.293728256225585,41.30264663696289,43.81880569458008,42.923282623291016,21.776931762695312,59.16,95.65367155075072
14.0,43.30894050598145,41.29539489746094,43.85143280029297,42.89790344238281,21.776931762695312,61.34,98.99920129776
14.5,43.32179641723633,41.30264663696289,43.81517791748047,42.91965866088867,21.791648864746094,62.91,102.33830308914183
15.0,43.33374576568603,41.3171501159668,43.84055709838867,42.926910400390625,21.780611038208008,63.48,105.67143020629882
15.5,43.34732646942139,41.338905334472656,43.865936279296875,42.97404098510742,21.765893936157227,62.25,108.99776697158813
16.0,43.36400394439697,41.35702896118164,43.88043975830078,43.02842330932617,21.780611038208008,59.97,112.31576499938964
16.5,43.38102912902832,41.35702896118164,43.84418487548828,43.07918167114258,21.784290313720703,59.61,115.62525043487548
17.0,43.39986705780029,41.40053939819336,43.87318801879883,43.12631607055664,21.7879695892334,58.2,118.92531690597534
