Time,Ave_Temp,Channel 2,Channel 3,Channel 4,Channel 5,Volt,Integral_Value
0.0,43.040368270874026,41.50506591796875,43.46650695800781,42.93717575073242,22.177356719970703,73,3.479815864562987
0.5,43.08508720397949,41.49781799316406,43.49188995361328,42.955299377441406,22.177356719970703,41.42,6.9372722625732415
1.0,43.12835578918457,41.4760627746582,43.477386474609375,42.955299377441406,22.177356719970703,42.05,10.373094367980958
1.5,43.1752197265625,41.486785888671875,43.495361328125,42.9732780456543,22.18088150024414,39.1,13.785484504699706
2.0,43.21954574584961,41.45777893066406,43.509864807128906,42.93339538574219,22.16616439819336,40.47,17.175711631774902
2.5,43.21407699584961,41.392520904541016,43.495361328125,42.853633880615234,22.158803939819336,73,20.568673133850098
3.0,43.20679550170898,41.40340042114258,43.495361328125,42.87901306152344,22.162485122680664,73,23.965275382995607
3.5,43.20168914794922,41.39614486694336,43.498985290527344,42.88263702392578,22.16616439819336,73,27.364430809021
4.0,43.18936195373535,41.392520904541016,43.495361328125,42.850006103515625,22.16616439819336,73,30.769749832153323
4.5,43.174859619140626,41.38164138793945,43.51348876953125,42.78474807739258,22.17352294921875,73,34.18232002258301
5.0,43.17447166442871,41.39239501953125,43.549617767333984,42.79549789428711,22.173389434814453,72.6,37.59508419036866
5.5,43.17227058410644,41.374263763427734,43.553245544433594,42.79911804199219,22.18442726135254,73,41.00894889831544
6.0,43.174420547485354,41.39239501953125,43.567745208740234,42.83537673950195,22.180747985839844,70.94,44.42173862457276
6.5,43.17765808105469,41.40327072143555,43.549617767333984,42.828125,22.173389434814453,70.21,47.83290958404542
7.0,43.1856086730957,41.414146423339844,43.54236602783203,42.83537673950195,22.19178581237793,66.88,51.24010524749757
7.5,43.189959335327146,41.44677734375,43.55686950683594,42.83175277709961,22.180747985839844,69.42,54.645125579833994
8.0,43.19068450927735,41.44314956665039,43.52423858642578,42.83537673950195,22.17706871032715,72.01,58.04978332519532
8.5,43.18847579956055,41.46473693847656,43.52044677734375,42.86058807373047,22.165861129760742,73,61.455545425415046
9.0,43.1891674041748,41.46473693847656,43.52044677734375,42.86421203613281,22.18425750732422,72.16,64.86096172332765
9.5,43.191671752929686,41.47924041748047,43.524070739746094,42.87871551513672,22.176898956298828,70.93,68.2651258468628
10.0,43.18366165161133,41.48286437988281,43.50956726074219,42.798954010009766,22.18057632446289,73,71.67329502105713
10.5,43.177070999145506,41.46820831298828,43.52029037475586,42.77341842651367,22.16570472717285,73,75.08475952148437
11.0,43.17232666015625,41.45008087158203,43.54929733276367,42.78429412841797,22.176742553710938,73,78.49859619140625
11.5,43.16867027282715,41.47183609008789,43.59642791748047,42.75166702270508,22.180423736572266,73,81.91426105499268
12.0,43.1606632232666,41.45008087158203,43.56379699707031,42.75891876220703,22.184101104736328,73,85.33392944335938
12.5,43.16534538269043,41.43558120727539,43.571048736572266,42.78429412841797,22.187782287597656,70.04,88.75125675201417
13.0,43.17295913696289,41.453704833984375,43.589176177978516,42.780670166015625,22.198820114135742,67.97,92.16477718353272
13.5,43.18419876098633,41.48271179199219,43.61818313598633,42.82780456542969,22.184101104736328,65.37,95.57267780303955
14.0,43.18854942321777,41.47908401489258,43.56017303466797,42.83142852783203,22.187782287597656,70.21,98.97840309143066
14.5,43.19759063720703,41.50072479248047,43.54193115234375,42.87119674682617,22.206064224243164,66.89,102.37960777282714
15.0,43.209895324707034,41.52247619628906,43.56005859375,42.918331146240234,22.202383041381836,64.53,105.77466011047363
15.5,43.223287963867186,41.52973175048828,43.54555892944336,42.958213806152344,22.206064224243164,63.69,109.16301612854004
16.0,43.23631744384765,41.551483154296875,43.592689514160156,42.98359298706055,22.19870376586914,63.87,112.54485740661622
16.5,43.26384925842285,41.518856048583984,43.647071838378906,43.01984786987305,22.19870376586914,53.49,115.91293277740479
17.0,43.28956069946289,41.511451721191406,43.675926208496094,42.99431610107422,22.191192626953125,54.55,119.26815242767334
17.5,43.31237144470215,41.496952056884766,43.72305679321289,42.98344039916992,22.194873809814453,56.4,122.61196670532226
18.0,43.33191909790039,41.50419998168945,43.762939453125,42.936309814453125,22.20591163635254,58.54,125.94600715637206
18.5,43.35219192504883,41.511451721191406,43.795570373535156,42.98344039916992,22.202232360839844,57.87,129.26991119384763
19.0,43.3717399597168,41.511451721191406,43.84270477294922,43.01969528198242,22.20591163635254,58.23,132.58404121398922
19.5,43.39639396667481,41.446189880371094,43.89345932006836,43.02332305908203,22.20591163635254,54.46,135.88584423065183
20.0,43.42391853332519,41.40253448486328,43.94044494628906,43.041297912597656,22.20943832397461,52.22,139.17388496398922
20.5,43.45763664245605,41.39543151855469,43.951473236083984,43.084957122802734,22.216949462890625,47.58,142.4450666427612
21.0,43.48624839782715,41.39165496826172,43.98757553100586,43.077552795410156,22.213115692138672,50.92,145.70194244384763
21.5,43.51304740905762,41.41341018676758,44.020206451416016,43.11018371582031,22.20943832397461,51.96,148.94541873931882
22.0,43.5438346862793,41.406158447265625,44.06371307373047,43.16094207763672,22.213115692138672,48.9,152.17350139617918
22.5,43.56631317138672,41.388031005859375,44.038333892822266,43.16819381713867,22.216796875,54.54,155.39034481048583
