Time,Ave_Temp,Channel 2,Channel 3,Channel 4,Channel 5,Volt,Integral_Value
0.0,42.96525287628174,40.68202209472656,43.089412689208984,42.21564483642578,21.7946720123291,73,3.517373561859131
0.5,42.93032455444336,40.69652557373047,43.09666442871094,42.204769134521484,21.790992736816406,73,7.052211284637451
1.0,42.89412708282471,40.69289779663086,43.085784912109375,42.19026565551758,21.7946720123291,73,10.605147743225096
1.5,42.85974235534668,40.631263732910156,43.122039794921875,42.19026565551758,21.783634185791016,73,14.175276565551755
2.0,42.82245712280273,40.62401580810547,43.122039794921875,42.13225555419922,21.776275634765625,73,17.76404800415039
2.5,42.78589706420898,40.64213943481445,43.122039794921875,42.146759033203125,21.76523780822754,73,21.3710994720459
3.0,42.74969959259033,40.64576721191406,43.107540130615234,42.16851043701172,21.76155662536621,73,24.996249675750732
3.5,42.71712779998779,40.66389465332031,43.15467071533203,42.19389343261719,21.750520706176758,73,28.637685775756836
4.0,42.68328704833984,40.67839431762695,43.143795013427734,42.17938995361328,21.754199981689453,73,32.29604225158691
4.5,42.65015621185303,40.6927490234375,43.158145904541016,42.179237365722656,21.75772476196289,73,35.970964145660396
5.0,42.65050354003906,40.68912124633789,43.158145904541016,42.15385818481445,21.75772476196289,73,39.64571237564087
5.5,42.651032066345216,40.71087646484375,43.14364242553711,42.16836166381836,21.75772476196289,73,43.320196342468265
6.0,42.65299606323242,40.69984817504883,43.14349365234375,42.171836853027344,21.75389289855957,73,46.993698310852054
6.5,42.65225601196289,40.7036247253418,43.08926010131836,42.20824432373047,21.754047393798828,73,50.66757030487061
7.0,42.6562141418457,40.72522735595703,43.092735290527344,42.24072265625,21.75389289855957,73,54.339463233947754
7.5,42.66053466796875,40.74698257446289,43.09635925292969,42.25885009765625,21.75389289855957,73,58.00919589996338
8.0,42.66594276428223,40.768733978271484,43.128990173339844,42.25522232055664,21.76125144958496,73,61.67622451782226
8.5,42.66681880950928,40.80136489868164,43.1362419128418,42.22984313964844,21.75389289855957,73,65.34281511306762
9.0,42.67095794677734,40.8231201171875,43.1507453918457,42.25522232055664,21.75389289855957,73,69.00733613967894
9.5,42.67746906280517,40.83761978149414,43.176124572753906,42.291481018066406,21.750213623046875,73,72.66860160827636
10.0,42.687605667114255,40.85574722290039,43.1978759765625,42.31686019897461,21.73917579650879,73,76.32479877471923
10.5,42.697187423706055,40.86651611328125,43.22677230834961,42.2768669128418,21.750099182128906,73,79.9762050628662
11.0,42.70787181854248,40.8955192565918,43.26302719116211,42.2659912109375,21.74641990661621,73,83.62226915359496
11.5,42.723073196411136,40.917274475097656,43.28478240966797,42.316749572753906,21.757457733154297,72.61,87.26073255538938
12.0,42.73865222930908,40.953529357910156,43.28840637207031,42.356632232666016,21.7537784576416,72.38,90.89140644073484
12.5,42.75640659332275,40.9462776184082,43.32103729248047,42.389259338378906,21.761137008666992,71.5,94.51320314407346
13.0,42.774704933166504,40.96803283691406,43.32103729248047,42.429141998291016,21.74641990661621,71.18,98.1258506774902
13.5,42.79608497619629,40.97890853881836,43.35729217529297,42.43639373779297,21.7537784576416,69.94,101.72780818939206
