Timestamp,Average Temperature
0.0,44.909953117370605
0.5,44.897263526916504
1.0,44.894657135009766
1.5,44.88196849822998
2.0,44.85945987701416
2.5,44.84495735168457
3.0,44.82954788208008
3.5,44.82682991027832
4.0,44.81957721710205
4.5,44.82971668243408
5.0,44.82518291473389
5.5,44.83152961730957
6.0,44.83152961730957
6.5,44.83334255218506
7.0,44.83619022369385
7.5,44.850693702697754
8.0,44.8698787689209
8.5,44.86534595489502
9.0,44.88075542449951
9.5,44.894351959228516
10.0,44.90534210205078
10.5,44.922563552856445
11.0,44.93887901306152
11.5,44.963351249694824
12.0,44.976040840148926
12.5,44.97891044616699
13.0,44.98434829711914
13.5,45.00066375732422
14.0,45.01607322692871
14.5,45.01879119873047
15.0,45.03238868713379
15.5,45.02785682678223
16.0,45.029839515686035
16.5,45.04343605041504
17.0,45.05703067779541
17.5,45.067148208618164
18.0,45.078932762145996
18.5,45.09977912902832
19.0,45.11518955230713
19.5,45.12787914276123
20.0,45.138888359069824
20.5,45.15792274475098
21.0,45.17242431640625
21.5,45.18692874908447
22.0,45.20065402984619
22.5,45.220462799072266
23.0,45.23147201538086
23.5,45.24325466156006
24.0,45.25050640106201
24.5,45.25685119628906
25.0,45.2758846282959
25.5,45.29673194885254
26.0,45.325870513916016
26.5,45.35020923614502
27.0,45.36937713623047
27.5,45.39475631713867
28.0,45.416510581970215
28.5,45.42030048370361
29.0,45.440982818603516
29.5,45.465455055236816
30.0,45.482842445373535
30.5,45.5000638961792
31.0,45.50187587738037
31.5,45.533599853515625
32.0,45.54175853729248
32.5,45.55807304382324
33.0,45.58254623413086
33.5,45.61064529418945
34.0,45.6514310836792
34.5,45.68768787384033
35.0,45.71397304534912
35.5,45.74025821685791
36.0,45.763824462890625
36.5,45.79011058807373
37.0,45.82198715209961
37.5,45.83724308013916
38.0,45.85008716583252
38.5,45.868215560913086
39.0,45.884531021118164
39.5,45.89449882507324
40.0,45.90884876251221
40.5,45.9280366897583
41.0,45.95719051361084
41.5,45.994205474853516
42.0,46.03695201873779
42.5,46.07139492034912
43.0,46.10946464538574
43.5,46.134843826293945
44.0,46.16641902923584
44.5,46.2037296295166
45.0,46.23001575469971
45.5,46.26717662811279
46.0,46.2999210357666
46.5,46.32711219787598
47.0,46.357930183410645
47.5,46.38602924346924
48.0,46.412312507629395
48.5,46.42953586578369
49.0,46.434067726135254
49.5,46.447662353515625
50.0,46.46140956878662
50.5,46.48950958251953
51.0,46.507636070251465
51.5,46.52229118347168
52.0,46.538453102111816
52.5,46.54842472076416
53.0,46.56851577758789
53.5,46.575615882873535
54.0,46.59933376312256
54.5,46.621087074279785
55.0,46.6446533203125
55.5,46.662949562072754
56.0,46.69467258453369
56.5,46.71461296081543
57.0,46.73727321624756
57.5,46.7590274810791
58.0,46.76990509033203
58.5,46.78531265258789
59.0,46.795416831970215
59.5,46.810691833496094
60.0,46.825326919555664
60.5,46.849799156188965
61.0,46.8751802444458
61.5,46.89240074157715
62.0,46.9241247177124
62.5,46.941346168518066
63.0,46.96776008605957
63.5,46.986666679382324
64.0,47.00401496887207
64.5,47.0274543762207
65.0,47.050241470336914
65.5,47.07367992401123
66.0,47.087403297424316
66.5,47.1055326461792
67.0,47.11369037628174
67.5,47.13725566864014
68.0,47.154476165771484
68.5,47.17713642120361
69.0,47.196170806884766
69.5,47.21171283721924
70.0,47.22802925109863
70.5,47.257033348083496
71.0,47.28875732421875
71.5,47.32229423522949
72.0,47.34948539733887
72.5,47.37486457824707
73.0,47.38574028015137
73.5,47.4102144241333
74.0,47.43740653991699
74.5,47.456440925598145
75.0,47.478193283081055
75.5,47.483633041381836
76.0,47.507198333740234
76.5,47.524420738220215
77.0,47.54164218902588
77.5,47.56535816192627
78.0,47.57699108123779
78.5,47.59527015686035
79.0,47.62140369415283
79.5,47.62790012359619
80.0,47.643309593200684
80.5,47.65962314605713
81.0,47.684096336364746
81.5,47.69044303894043
82.0,47.72035312652588
82.5,47.75298309326172
83.0,47.75479698181152
83.5,47.778361320495605
84.0,47.78923988342285
84.5,47.800116539001465
85.0,47.81733703613281
85.5,47.8309326171875
86.0,47.85268592834473
86.5,47.86990928649902
87.0,47.894381523132324
87.5,47.91160297393799
88.0,47.93698310852051
88.5,47.959641456604004
89.0,47.973238945007324
89.5,47.99408531188965
90.0,48.007680892944336
90.5,48.00949287414551
91.0,48.023996353149414
91.5,48.03050994873047
92.0,48.04212284088135
92.5,48.06569004058838
93.0,48.092881202697754
93.5,48.108290672302246
94.0,48.1291389465332
94.5,48.142733573913574
95.0,48.16901874542236
95.5,48.18714714050293
96.0,48.217058181762695
96.5,48.22159004211426
97.0,48.2424373626709
97.5,48.266005516052246
98.0,48.290475845336914
98.5,48.31585693359375
99.0,48.34214115142822
99.5,48.36827564239502
100.0,48.385647773742676
100.5,48.41737174987793
101.0,48.44167518615723
101.5,48.45979976654053
102.0,48.46974754333496
102.5,48.46701622009277
103.0,48.46882343292236
103.5,48.48329544067383
104.0,48.48873329162598
104.5,48.51226043701172
105.0,48.52402591705322
105.5,48.54394054412842
106.0,48.56283664703369
106.5,48.58378601074219
107.0,48.610939025878906
107.5,48.634488105773926
108.0,48.66062545776367
108.5,48.69596290588379
109.0,48.7231330871582
109.5,48.74941825866699
110.0,48.76753902435303
110.5,48.788368225097656
111.0,48.804542541503906
111.5,48.82096290588379
112.0,48.83440971374512
112.5,48.838932037353516
113.0,48.847195625305176
113.5,48.855207443237305
114.0,48.85519027709961
114.5,48.85892677307129
115.0,48.870585441589355
115.5,48.88326549530029
116.0,48.89970397949219
116.5,48.91859436035156
117.0,48.9430570602417
117.5,48.952887535095215
118.0,48.962998390197754
118.5,48.9728307723999
119.0,48.98278045654297
119.5,48.994577407836914
120.0,49.01540946960449
120.5,49.01994323730469
121.0,49.035179138183594
121.5,49.04876136779785
122.0,49.05237007141113
122.5,49.059590339660645
123.0,49.067734718322754
123.5,49.07135009765625
124.0,49.07861137390137
124.5,49.07755470275879
125.0,49.08858108520508
125.5,49.09206008911133
126.0,49.09024715423584
126.5,49.08933639526367
