Time,Ave_Temp,Channel 2,Channel 3,Channel 4,Channel 5,Volt,Integral_Value
0.0,42.92733955383301,41.86670684814453,43.00514221191406,42.70421600341797,21.440561294555664,73,3.536330223083496
0.5,42.84924030303955,41.85945510864258,42.99789047241211,42.68971252441406,21.469995498657227,73,7.111710071563721
1.0,42.83836364746094,41.85945510864258,42.98701477050781,42.678836822509766,21.481033325195312,73,10.692528247833252
1.5,42.83473873138428,41.855831146240234,43.00151443481445,42.67158889770508,21.484712600708008,73,14.275158882141113
2.0,42.83195209503174,41.862945556640625,42.98687744140625,42.66782760620117,21.48457908630371,73,17.859182834625244
2.5,42.822821617126465,41.826690673828125,42.99775695800781,42.638824462890625,21.451465606689453,73,21.44777202606201
3.0,42.830074310302734,41.83756637573242,43.01226043701172,42.67145538330078,21.42938995361328,73,25.032734870910645
3.5,42.85273361206055,41.84119415283203,43.01588439941406,42.711334228515625,21.4146728515625,69.88,28.60636806488037
4.0,42.87176704406738,41.848445892333984,43.04851531982422,42.711334228515625,21.4146728515625,70.65,32.17048454284668
4.5,42.88257694244385,41.85919189453125,43.03025436401367,42.740203857421875,21.418216705322266,72.66,35.729196071624756
5.0,42.887948989868164,41.85919189453125,43.00849914550781,42.7728385925293,21.43293571472168,73,39.285221576690674
5.5,42.88432312011719,41.85919189453125,43.02662658691406,42.72932815551758,21.418216705322266,73,42.84306001663208
6.0,42.88069725036621,41.880943298339844,43.00849914550781,42.75833511352539,21.42557716369629,73,46.402711391448975
6.5,42.87254047393799,41.88456726074219,42.979496002197266,42.743831634521484,21.421897888183594,73,49.96644115447998
7.0,42.875184059143066,41.898921966552734,43.01922607421875,42.758182525634766,21.42542266845703,73,53.52884912490845
7.5,42.90139389038086,41.88079071044922,43.04460525512695,42.78356170654297,21.443819046020508,68.98,57.07815217971802
8.0,42.91687870025635,41.85556411743164,43.055633544921875,42.783714294433594,21.43293571472168,71.56,60.619712829589844
8.5,42.93410110473633,41.86266326904297,43.069984436035156,42.82707214355469,21.432781219482422,71.01,64.15266227722168
9.0,42.969374656677246,41.88079071044922,43.11349105834961,42.86695098876953,21.440139770507812,66.19,67.66797494888306
9.5,43.0001916885376,41.891666412353516,43.127994537353516,42.892330169677734,21.432781219482422,67.04,71.16787910461426
10.0,43.02006816864014,41.89516830444336,43.14236831665039,42.917579650878906,21.425291061401367,69.63,74.65784502029419
10.5,43.041757583618164,41.91691970825195,43.17137145996094,42.93571090698242,21.417932510375977,69.01,78.13696622848511
11.0,43.05444812774658,41.92054748535156,43.185874938964844,42.924835205078125,21.425291061401367,71.18,81.60974216461182
11.5,43.06351184844971,41.93867111206055,43.222129821777344,42.921207427978516,21.432649612426758,72.06,85.07798624038696
12.0,43.080665588378906,41.94941711425781,43.22199630737305,42.95732879638672,21.447233200073242,69.91,88.53765344619751
12.5,43.09328842163086,41.960296630859375,43.261878967285156,42.931949615478516,21.43987274169922,70.97,91.99100923538208
13.0,43.10423278808594,41.978553771972656,43.2801399230957,42.942962646484375,21.458404541015625,71.34,95.43889284133911
13.5,43.122361183166504,41.996551513671875,43.30901336669922,42.95732879638672,21.461950302124023,69.41,98.87771224975586
14.0,43.144954681396484,42.014678955078125,43.30901336669922,43.00446319580078,21.461950302124023,68.12,102.30523490905762
14.5,43.163082122802734,42.02555465698242,43.32714080810547,43.01171112060547,21.428836822509766,69.11,105.72369384765625
15.0,43.15945625305176,41.98567199707031,43.319889068603516,42.97908401489258,21.41411781311035,73,109.14396572113037
15.5,43.17395877838135,42.00742721557617,43.34526824951172,43.05159378051758,21.41411781311035,70.02,112.5569863319397
16.0,43.20930862426758,42.04368209838867,43.33439254760742,43.105979919433594,21.406761169433594,64.49,115.95233201980591
16.5,43.23279094696045,42.043514251708984,43.35597610473633,43.13481521606445,21.39923095703125,67.27,119.33593654632568
17.0,43.2553653717041,42.083396911621094,43.37047576904297,43.160194396972656,21.406587600708008,67.32,122.70825386047363
17.5,43.28165149688721,42.11240005493164,43.4176139831543,43.178321838378906,21.439701080322266,66.18,126.06742811203003
18.0,43.31609535217285,42.14140319824219,43.43573760986328,43.23270797729492,21.44706153869629,63.83,129.4093804359436
18.5,43.35228443145752,42.16302490234375,43.47186279296875,43.268829345703125,21.46532440185547,63.08,132.73323822021484
19.0,43.39488506317139,42.174034118652344,43.5263786315918,43.312469482421875,21.465457916259766,61.08,136.03579568862915
19.5,43.4302339553833,42.21015930175781,43.55524826049805,43.326839447021484,21.443248748779297,62.58,139.3206787109375
20.0,43.45373344421387,42.22103500366211,43.5625,43.37034606933594,21.4395694732666,65.36,142.59381198883057
20.5,43.47186088562012,42.250038146972656,43.5625,43.39209747314453,21.443248748779297,66.57,145.8578815460205
21.0,43.47904682159424,42.28253936767578,43.54424285888672,43.4173469543457,21.439434051513672,69.28,149.1183581352234
21.5,43.49083137512207,42.30079650878906,43.558876037597656,43.4428596496582,21.41013526916504,68.07,152.37294244766235
22.0,43.49989604949951,42.31879425048828,43.558746337890625,43.43910217285156,21.40264129638672,68.71,155.6229944229126
22.5,43.49348449707031,42.326045989990234,43.573246002197266,43.4028434753418,21.391605377197266,72.7,158.87625217437744
23.0,43.4962682723999,42.322547912597656,43.60963439941406,43.399349212646484,21.40277671813965,70.43,162.1281180381775
23.5,43.50805187225342,42.329673767089844,43.62038040161133,43.4028434753418,21.384244918823242,68.11,165.37409210205078
24.0,43.50073528289795,42.31879425048828,43.63850784301758,43.341209411621094,21.37320899963379,73,168.6237244606018
24.5,43.49257755279541,42.329673767089844,43.631256103515625,43.359336853027344,21.369529724121094,73,171.8774356842041
25.0,43.48713970184326,42.33329391479492,43.62763214111328,43.3303337097168,21.362171173095703,72.81,175.13386583328247
25.5,43.49983024597168,42.365928649902344,43.69651794433594,43.3448371887207,21.37688636779785,68.2,178.38395071029663
26.0,43.534207344055176,42.37667465209961,43.7181396484375,43.37733459472656,21.376752853393555,62.47,181.61684703826904
26.5,43.56314659118652,42.37667465209961,43.77614974975586,43.38096237182617,21.395151138305664,63.59,184.83527374267578
27.0,43.60309410095215,42.39130783081055,43.816162109375,43.43910217285156,21.410001754760742,60.47,188.0337266921997
27.5,43.62038040161133,42.40581130981445,43.7907829284668,43.43547439575195,21.417360305786133,66.01,191.22353649139404
28.0,43.62038040161133,42.39130783081055,43.7799072265625,43.47535705566406,21.421039581298828,70.39,194.41334629058838
28.5,43.622127532958984,42.3839225769043,43.7797737121582,43.45347213745117,21.424585342407227,69.99,197.6022825241089
29.0,43.59758949279785,42.38029861450195,43.790653228759766,43.366458892822266,21.424585342407227,73,200.80348777770996
29.5,43.61571788787842,42.3984260559082,43.85953903198242,43.44622039794922,21.439300537109375,66.07,203.99562883377075
30.0,43.651065826416016,42.358543395996094,43.88491439819336,43.41358947753906,21.446659088134766,61.45,207.17009592056274
30.5,43.66103649139404,42.3476676940918,43.91392135620117,43.43172073364258,21.439300537109375,67.75,210.33957767486572
31.0,43.66822147369385,42.37654113769531,43.88840866088867,43.43883514404297,21.435489654541016,68.42,213.5054669380188
31.5,43.66640853881836,42.394798278808594,43.939300537109375,43.39908981323242,21.442981719970703,70.75,216.67226266860962
32.0,43.69638729095459,42.40205383300781,43.99005889892578,43.45709991455078,21.450340270996094,62.54,219.82406902313232
32.5,43.718074798583984,42.33303451538086,44.02618408203125,43.398956298828125,21.453886032104492,64.44,222.96503162384033
33.0,43.732577323913574,42.3621711730957,44.055320739746094,43.44984817504883,21.465055465698242,66.14,226.09874296188354
33.5,43.74707889556885,42.35116195678711,44.029808044433594,43.453338623046875,21.442848205566406,66.04,229.22520351409912
34.0,43.76785850524902,42.380165100097656,44.07331466674805,43.51497268676758,21.453886032104492,64.31,232.3412742614746
34.5,43.8086462020874,42.40554428100586,44.10956954956055,43.53672790527344,21.461244583129883,58.93,235.4369511604309
35.0,43.83674335479736,42.44905090332031,44.10594177246094,43.59473419189453,21.453886032104492,61.86,238.51857948303223
35.5,43.87027931213379,42.474430084228516,44.14582443237305,43.63461685180664,21.464923858642578,60.21,241.58343982696533
36.0,43.89475345611572,42.49980926513672,44.189334869384766,43.60923767089844,21.461244583129883,62.27,244.63606309890747
36.5,43.89558506011963,42.528663635253906,44.174678802490234,43.60908889770508,21.47212791442871,68.22,247.68827056884766
37.0,43.90374183654785,42.53606414794922,44.19658279418945,43.63461685180664,21.475963592529297,66.36,250.73639965057373
37.5,43.916507720947266,42.54331588745117,44.23284149169922,43.60198974609375,21.47228240966797,65.13,253.7781457901001
38.0,43.92821502685547,42.568546295166016,44.27981948852539,43.598209381103516,21.4794864654541,65.32,256.81403827667236
38.5,43.95079803466797,42.57942199707031,44.268943786621094,43.656219482421875,21.4794864654541,62.42,259.8386392593384
39.0,43.96892738342285,42.619300842285156,44.30157470703125,43.64897155761719,21.494203567504883,63.39,262.85417556762695
39.5,43.98343086242676,42.583045959472656,44.34145736694336,43.641719818115234,21.508922576904297,64.2,265.8624601364136
40.0,43.997026443481445,42.59754943847656,44.37771224975586,43.62721633911133,21.50524139404297,64.34,268.86394691467285
40.5,44.01326560974121,42.5828971862793,44.399314880371094,43.64881896972656,21.50141143798828,63.56,271.85731410980225
41.0,44.01590919494629,42.557518005371094,44.413818359375,43.6016845703125,21.508769989013672,66.98,274.8493595123291
41.5,43.998687744140625,42.56476974487305,44.413818359375,43.5654296875,21.505090713500977,72.18,277.8500156402588
42.0,44.009565353393555,42.59014892578125,44.4500732421875,43.60894012451172,21.505090713500977,65.09,280.845232963562
42.5,44.036757469177246,42.575645446777344,44.482704162597656,43.60531234741211,21.512449264526367,60.78,283.8268542289734
43.0,44.036757469177246,42.56476974487305,44.46095275878906,43.598060607910156,21.519807815551758,67.63,286.80847549438477
43.5,44.030348777770996,42.608150482177734,44.47169876098633,43.59068298339844,21.52335548400879,69.35,289.79330110549927
44.0,44.03669357299805,42.65178298950195,44.46095275878906,43.62343978881836,21.52716636657715,66.15,292.77495431900024
44.5,44.030348777770996,42.65165710449219,44.43907165527344,43.597930908203125,21.534391403198242,69.44,295.75977993011475
45.0,44.02575206756592,42.640777587890625,44.446319580078125,43.619686126708984,21.545429229736328,69.11,298.7469038963318
45.5,44.04478645324707,42.66978073120117,44.46445083618164,43.64868927001953,21.534391403198242,63.05,301.72451066970825
46.0,44.06925964355469,42.698787689208984,44.47895050048828,43.6849479675293,21.52703285217285,61.49,304.6898808479309
46.5,44.087388038635254,42.66978073120117,44.49345397949219,43.69219970703125,21.51967430114746,62.93,307.6461868286133
47.0,44.090030670166016,42.709510803222656,44.460670471191406,43.71379852294922,21.53055763244629,66.83,310.6011714935303
47.5,44.07643508911133,42.7277946472168,44.42456817626953,43.706703186035156,21.53071403503418,71.08,313.5629539489746
48.0,44.0673713684082,42.745765686035156,44.442543029785156,43.69567108154297,21.541595458984375,70.1,316.5292682647705
