Time,Temp,Volt
0.0,44.36999797821045,70
0.5,44.37573528289795,70
1.0,44.3783016204834,70
1.5,44.37739658355713,70
2.0,44.37664031982422,70
2.5,44.38224792480469,70
3.0,44.37318420410156,70
3.5,44.3732967376709,70
4.0,44.36801052093506,70
4.5,44.37163543701172,70
5.0,44.38083362579346,70
5.5,44.38536357879639,70
6.0,44.3800745010376,70
6.5,44.38007354736328,70
7.0,44.37389945983887,70
7.5,44.365742683410645,70
8.0,44.36781692504883,70
8.5,44.356940269470215,70
9.0,44.351500511169434,70
9.5,44.35165214538574,70
10.0,44.343628883361816,70
10.5,44.33365821838379,70
11.0,44.32459259033203,70
11.5,44.312073707580566,70
12.0,44.299516677856445,70
12.5,44.28682613372803,70
13.0,44.298757553100586,70
13.5,44.300570487976074,70
14.0,44.303420066833496,70
14.5,44.31067085266113,70
15.0,44.31898021697998,70
15.5,44.32456874847412,70
16.0,44.333632469177246,70
16.5,44.359917640686035,70
17.0,44.351874351501465,70
17.5,44.36637878417969,70
18.0,44.382863998413086,70
18.5,44.398420333862305,70
19.0,44.40761470794678,69.9
19.5,44.40670680999756,69.92
20.0,44.42302227020264,69.71
20.5,44.4376745223999,69.53
21.0,44.444021224975586,69.45
21.5,44.44503974914551,69.44
22.0,44.47421646118164,69.07
22.5,44.48056125640869,68.99
23.0,44.48524284362793,68.93
23.5,44.496267318725586,68.8
24.0,44.50986385345459,68.63
24.5,44.533559799194336,68.33
25.0,44.55350112915039,68.08
25.5,44.55893898010254,68.01
26.0,44.5654182434082,67.93
26.5,44.58552646636963,67.68
27.0,44.602882385253906,67.46
27.5,44.61285209655762,67.34
28.0,44.62387752532959,67.2
28.5,44.63203525543213,67.1
29.0,44.64200496673584,66.97
29.5,44.64669132232666,66.92
30.0,44.667537689208984,66.65
30.5,44.6912145614624,66.36
31.0,44.70588493347168,66.17
31.5,44.722350120544434,65.97
32.0,44.75679302215576,65.54
32.5,44.7796049118042,65.25
33.0,44.79682636260986,65.04
33.5,44.814178466796875,64.82
34.0,44.83049297332764,64.62
34.5,44.84150409698486,64.48
35.0,44.85963153839111,64.25
35.5,44.87261962890625,64.09
36.0,44.88880443572998,63.89
36.5,44.90162467956543,63.73
37.0,44.916276931762695,63.55
37.5,44.93440628051758,63.32
38.0,44.953590393066406,63.08
38.5,44.97636413574219,62.79
39.0,44.9863338470459,62.67
39.5,45.00627517700195,62.42
40.0,45.02638626098633,62.17
40.5,45.04995250701904,61.87
41.0,45.069135665893555,61.63
41.5,45.10554313659668,61.18
42.0,45.127296447753906,60.91
42.5,45.14918041229248,60.63
43.0,45.181036949157715,60.23
43.5,45.20913600921631,59.88
44.0,45.23740196228027,59.53
44.5,45.259156227111816,59.26
45.0,45.26835250854492,59.14
45.5,45.28466796875,58.94
46.0,45.31291389465332,58.59
46.5,45.32016563415527,58.5
47.0,45.34660243988037,58.16
47.5,45.336798667907715,58.29
48.0,45.383026123046875,57.71
48.5,45.408517837524414,57.39
49.0,45.43208312988281,57.1
49.5,45.46486473083496,56.69
50.0,45.486618995666504,56.42
50.5,45.505937576293945,56.17
51.0,45.51953315734863,56.0
51.5,45.543209075927734,55.71
52.0,45.56315231323242,55.46
52.5,45.58869743347168,55.14
53.0,45.602293968200684,54.97
53.5,45.61604022979736,54.8
54.0,45.63235664367676,54.59
54.5,45.656073570251465,54.3
55.0,45.67148208618164,54.1
55.5,45.69880676269531,53.76
56.0,45.72069072723389,53.49
56.5,45.72537040710449,53.43
57.0,45.742591857910156,53.22
57.5,45.76179885864258,52.98
58.0,45.7690486907959,52.89
58.5,45.77371120452881,52.83
59.0,45.785645484924316,52.68
59.5,45.805585861206055,52.43
60.0,45.824734687805176,52.19
60.5,45.83470439910889,52.07
61.0,45.85298252105713,51.84
61.5,45.86567306518555,51.68
62.0,45.87672138214111,51.54
62.5,45.886691093444824,51.42
63.0,45.90224742889404,51.22
63.5,45.91597366333008,51.05
64.0,45.935914039611816,50.8
64.5,45.9523811340332,50.59
65.0,45.96790313720703,50.4
65.5,45.98149871826172,50.23
66.0,45.993452072143555,50.08
66.5,46.01082515716553,49.86
67.0,46.02079486846924,49.74
67.5,46.024569511413574,49.69
68.0,46.04012870788574,49.5
68.5,46.05825710296631,49.27
69.0,46.07638359069824,49.04
69.5,46.08828067779541,48.9
70.0,46.10657787322998,48.67
70.5,46.12198543548584,48.47
71.0,46.14479732513428,48.19
71.5,46.16940116882324,47.88
72.0,46.192063331604004,47.6
72.5,46.207621574401855,47.4
73.0,46.217702865600586,47.28
73.5,46.22965335845947,47.13
74.0,46.24506187438965,46.94
74.5,46.25609111785889,46.8
75.0,46.26334095001221,46.71
75.5,46.27527618408203,46.56
76.0,46.28175354003906,46.48
76.5,46.29716205596924,46.28
77.0,46.309075355529785,46.14
77.5,46.330997467041016,45.86
78.0,46.348350524902344,45.64
78.5,46.36557388305664,45.43
79.0,46.37659931182861,45.29
79.5,46.38838291168213,45.14
80.0,46.42569541931152,44.68
80.5,46.43385314941406,44.58
81.0,46.452147483825684,44.35
81.5,46.468581199645996,44.14
82.0,46.47854995727539,44.02
82.5,46.4959192276001,43.8
83.0,46.51329517364502,43.58
83.5,46.5296106338501,43.38
84.0,46.53064441680908,43.37
84.5,46.53789520263672,43.28
85.0,46.54635524749756,43.17
85.5,46.56085681915283,42.99
86.0,46.57911777496338,42.76
86.5,46.58833026885986,42.64
87.0,46.60298728942871,42.46
87.5,46.6174898147583,42.28
88.0,46.633803367614746,42.08
88.5,46.6494722366333,41.88
89.0,46.67485237121582,41.56
89.5,46.689523696899414,41.38
90.0,46.70855712890625,41.14
90.5,46.71140956878662,41.11
91.0,46.7124662399292,41.09
91.5,46.712467193603516,41.09
92.0,46.72077560424805,40.99
92.5,46.72269916534424,40.97
93.0,46.72739887237549,40.91
93.5,46.737369537353516,40.78
94.0,46.751115798950195,40.61
94.5,46.77030277252197,40.37
95.0,46.78765678405762,40.15
95.5,46.7994384765625,40.01
96.0,46.80682182312012,39.91
96.5,46.81605339050293,39.8
97.0,46.81152153015137,39.86
97.5,46.81437110900879,39.82
98.0,46.80364513397217,39.96
98.5,46.81180191040039,39.85
99.0,46.801981925964355,39.98
99.5,46.799376487731934,40.01
100.0,46.80498790740967,39.94
100.5,46.80589294433594,39.93
101.0,46.806044578552246,39.92
101.5,46.816142082214355,39.8
102.0,46.827924728393555,39.65
102.5,46.82898139953613,39.64
103.0,46.83727169036865,39.53
103.5,46.8347053527832,39.57
104.0,46.844825744628906,39.44
104.5,46.84497547149658,39.44
105.0,46.83500576019287,39.56
105.5,46.83697032928467,39.54
106.0,46.83617401123047,39.55
106.5,46.84523868560791,39.43
107.0,46.853394508361816,39.33
107.5,46.85809516906738,39.27
108.0,46.86381721496582,39.2
108.5,46.86472511291504,39.19
109.0,46.86396884918213,39.2
109.5,46.867706298828125,39.15
110.0,46.86951732635498,39.13
110.5,46.876033782958984,39.05
111.0,46.880714416503906,38.99
111.5,46.88615131378174,38.92
112.0,46.8944616317749,38.82
112.5,46.91181659698486,38.6
113.0,46.90922832489014,38.63
113.5,46.910136222839355,38.62
114.0,46.911208152770996,38.61
114.5,46.918612480163574,38.52
115.0,46.916927337646484,38.54
115.5,46.915114402770996,38.56
116.0,46.9261417388916,38.42
116.5,46.928975105285645,38.39
117.0,46.935471534729004,38.31
117.5,46.94544219970703,38.18
118.0,46.953919410705566,38.08
118.5,46.96570301055908,37.93
119.0,46.977614402770996,37.78
119.5,46.99030303955078,37.62
120.0,47.00869846343994,37.39
120.5,47.013230323791504,37.33
121.0,47.01430606842041,37.32
121.5,47.01536178588867,37.31
122.0,47.01913833618164,37.26
122.5,47.01732540130615,37.28
123.0,47.01199722290039,37.35
123.5,47.01214790344238,37.35
124.0,47.00869083404541,37.39
124.5,46.99885368347168,37.52
125.0,46.983445167541504,37.71
125.5,46.9845027923584,37.69
126.0,46.97738265991211,37.78
126.5,46.97298049926758,37.84
127.0,46.9575719833374,38.03
127.5,46.943238258361816,38.21
128.0,46.93356895446777,38.33
128.5,46.9308500289917,38.36
129.0,46.927358627319336,38.41
129.5,46.92929935455322,38.38
130.0,46.91389083862305,38.58
130.5,46.90046691894531,38.75
131.0,46.895155906677246,38.81
131.5,46.895307540893555,38.81
132.0,46.884429931640625,38.95
132.5,46.88095664978027,38.99
133.0,46.878353118896484,39.02
133.5,46.867475509643555,39.16
134.0,46.863112449645996,39.21
134.5,46.860544204711914,39.24
135.0,46.857069969177246,39.29
135.5,46.85447978973389,39.32
136.0,46.84464073181152,39.44
136.5,46.846452713012695,39.42
137.0,46.837557792663574,39.53
137.5,46.827720642089844,39.65
138.0,46.81790065765381,39.78
138.5,46.80158615112305,39.98
139.0,46.78632831573486,40.17
139.5,46.77646732330322,40.3
140.0,46.76304054260254,40.46
140.5,46.74868869781494,40.64
141.0,46.744290351867676,40.7
141.5,46.717098236083984,41.04
142.0,46.71090316772461,41.11
142.5,46.70920181274414,41.14
143.0,46.70302772521973,41.21
143.5,46.70498847961426,41.19
144.0,46.7060489654541,41.17
144.5,46.708767890930176,41.14
145.0,46.709031105041504,41.14
145.5,46.71084403991699,41.11
146.0,46.70827293395996,41.15
146.5,46.703911781311035,41.2
147.0,46.70041370391846,41.25
147.5,46.70404052734375,41.2
148.0,46.68697261810303,41.41
148.5,46.67892837524414,41.51
149.0,46.67182636260986,41.6
149.5,46.66021251678467,41.75
150.0,46.657493591308594,41.78
150.5,46.64780521392822,41.9
151.0,46.652337074279785,41.85
151.5,46.64614200592041,41.92
152.0,46.64806842803955,41.9
152.5,46.643704414367676,41.95
153.0,46.64748191833496,41.91
153.5,46.64763069152832,41.9
154.0,46.64672565460205,41.92
154.5,46.653221130371094,41.83
155.0,46.64698600769043,41.91
155.5,46.656049728393555,41.8
156.0,46.65727615356445,41.78
156.5,46.662713050842285,41.72
157.0,46.670098304748535,41.62
157.5,46.67025089263916,41.62
158.0,46.66753101348877,41.66
158.5,46.66599655151367,41.68
159.0,46.66886806488037,41.64
159.5,46.672494888305664,41.59
160.0,46.67549514770508,41.56
160.5,46.67096424102783,41.61
161.0,46.672003746032715,41.6
161.5,46.66129493713379,41.73
162.0,46.668545722961426,41.64
162.5,46.66776657104492,41.65
163.0,46.64979267120361,41.88
163.5,46.634647369384766,42.07
164.0,46.634647369384766,42.07
164.5,46.62847137451172,42.14
165.0,46.6059627532959,42.43
165.5,46.59342384338379,42.58
166.0,46.587985038757324,42.65
166.5,46.583584785461426,42.71
167.0,46.57451820373535,42.82
167.5,46.5637731552124,42.95
168.0,46.56226348876953,42.97
168.5,46.555009841918945,43.06
169.0,46.55878734588623,43.01
169.5,46.549875259399414,43.13
170.0,46.5427360534668,43.22
170.5,46.55648136138916,43.04
171.0,46.54560375213623,43.18
171.5,46.53852462768555,43.27
172.0,46.528682708740234,43.39
172.5,46.52339553833008,43.46
173.0,46.51718235015869,43.54
173.5,46.51459312438965,43.57
174.0,46.51023197174072,43.62
174.5,46.50585079193115,43.68
175.0,46.50131893157959,43.73
175.5,46.5061149597168,43.67
176.0,46.50883388519287,43.64
176.5,46.51079273223877,43.61
177.0,46.5037145614624,43.7
177.5,46.50022029876709,43.75
178.0,46.50022029876709,43.75
178.5,46.51408004760742,43.57
179.0,46.50864219665527,43.64
179.5,46.50697898864746,43.66
180.0,46.507147789001465,43.66
180.5,46.51273822784424,43.59
181.0,46.52736949920654,43.41
181.5,46.523743629455566,43.45
182.0,46.52840805053711,43.39
182.5,46.525837898254395,43.43
183.0,46.52598762512207,43.43
183.5,46.53067207336426,43.37
184.0,46.52991580963135,43.38
184.5,46.53184223175049,43.35
185.0,46.53999900817871,43.25
185.5,46.531084060668945,43.36
186.0,46.525816917419434,43.43
186.5,46.52052593231201,43.49
187.0,46.51884746551514,43.51
187.5,46.5189790725708,43.51
188.0,46.51354217529297,43.58
188.5,46.521830558776855,43.48
189.0,46.52109336853027,43.49
189.5,46.52124214172363,43.48
190.0,46.527587890625,43.4
190.5,46.53057098388672,43.37
191.0,46.53434658050537,43.32
191.5,46.53632831573486,43.3
192.0,46.53723335266113,43.28
192.5,46.55007457733154,43.12
193.0,46.564706802368164,42.94
193.5,46.5675745010376,42.91
194.0,46.57312870025635,42.84
194.5,46.58672523498535,42.66
195.0,46.602285385131836,42.47
195.5,46.59882640838623,42.52
196.0,46.6080436706543,42.4
196.5,46.6217679977417,42.23
197.0,46.63627052307129,42.05
197.5,46.64546585083008,41.93
198.0,46.655569076538086,41.8
198.5,46.65845584869385,41.77
199.0,46.652262687683105,41.85
199.5,46.6415376663208,41.98
200.0,46.64346218109131,41.96
200.5,46.640743255615234,41.99
201.0,46.63743591308594,42.03
201.5,46.63290500640869,42.09
202.0,46.62034606933594,42.25
202.5,46.61400032043457,42.33
203.0,46.598873138427734,42.52
203.5,46.60897636413574,42.39
204.0,46.606258392333984,42.42
204.5,46.604613304138184,42.44
205.0,46.608388900756836,42.39
205.5,46.61125659942627,42.36
206.0,46.61771774291992,42.28
206.5,46.630555152893066,42.12
207.0,46.64341449737549,41.96
207.5,46.65701103210449,41.79
208.0,46.65532970428467,41.81
208.5,46.65547847747803,41.81
209.0,46.65921878814697,41.76
209.5,46.663902282714844,41.7
210.0,46.65863227844238,41.77
210.5,46.65772533416748,41.78
211.0,46.651681900024414,41.85
211.5,46.653493881225586,41.83
212.0,46.657230377197266,41.78
212.5,46.6546630859375,41.82
213.0,46.646677017211914,41.92
213.5,46.64046096801758,41.99
214.0,46.636080741882324,42.05
214.5,46.633474349975586,42.08
215.0,46.62622356414795,42.17
215.5,46.62999725341797,42.12
216.0,46.63107395172119,42.11
216.5,46.634846687316895,42.06
217.0,46.6377010345459,42.03
217.5,46.63059997558594,42.12
218.0,46.62618160247803,42.17
218.5,46.62544631958008,42.18
219.0,46.625447273254395,42.18
219.5,46.63828468322754,42.02
220.0,46.641151428222656,41.99
220.5,46.64309597015381,41.96
221.0,46.643096923828125,41.96
221.5,46.640509605407715,41.99
222.0,46.63975524902344,42.0
222.5,46.63992404937744,42.0
223.0,46.638240814208984,42.02
223.5,46.634766578674316,42.07
224.0,46.63759899139404,42.03
224.5,46.64031791687012,42.0
225.0,46.63140392303467,42.11
225.5,46.627041816711426,42.16
226.0,46.62628746032715,42.17
226.5,46.61903381347656,42.26
227.0,46.60841941833496,42.4
227.5,46.607513427734375,42.41
228.0,46.60492706298828,42.44
228.5,46.61597156524658,42.3
229.0,46.6260929107666,42.17
229.5,46.63621425628662,42.05
230.0,46.63904571533203,42.01
230.5,46.63451385498047,42.07
231.0,46.641913414001465,41.98
231.5,46.6420841217041,41.97
232.0,46.63226318359375,42.1
232.5,46.63964557647705,42.0
233.0,46.641592025756836,41.98
233.5,46.63537788391113,42.06
234.0,46.63175392150879,42.1
234.5,46.61016845703125,42.38
235.0,46.61213207244873,42.35
235.5,46.619529724121094,42.26
236.0,46.620553970336914,42.24
236.5,46.63611316680908,42.05
237.0,46.64064598083496,41.99
237.5,46.63899898529053,42.01
238.0,46.638224601745605,42.02
238.5,46.644723892211914,41.94
239.0,46.65300750732422,41.84
239.5,46.66116523742676,41.73
240.0,46.66401672363281,41.7
240.5,46.674156188964844,41.57
241.0,46.694397926330566,41.32
241.5,46.69893169403076,41.26
242.0,46.70266628265381,41.22
242.5,46.696473121643066,41.29
243.0,46.70480155944824,41.19
243.5,46.701175689697266,41.24
244.0,46.69768047332764,41.28
244.5,46.692505836486816,41.34
245.0,46.67256546020508,41.59
245.5,46.66093158721924,41.74
246.0,46.652923583984375,41.84
246.5,46.64856433868408,41.89
247.0,46.64493751525879,41.94
247.5,46.64416217803955,41.95
248.0,46.65063953399658,41.87
248.5,46.64535140991211,41.93
249.0,46.64094924926758,41.99
249.5,46.62735176086426,42.16
250.0,46.6284294128418,42.14
250.5,46.629486083984375,42.13
251.0,46.63594436645508,42.05
251.5,46.62687969207764,42.16
252.0,46.633527755737305,42.08
252.5,46.664512634277344,41.69
253.0,46.64003944396973,42.0
253.5,46.646517753601074,41.92
254.0,46.658448219299316,41.77
254.5,46.666720390319824,41.67
255.0,46.67321491241455,41.58
255.5,46.684261322021484,41.45
256.0,46.67338466644287,41.58
256.5,46.662657737731934,41.72
257.0,46.66188335418701,41.73
257.5,46.652042388916016,41.85
258.0,46.645851135253906,41.93
258.5,46.64418601989746,41.95
259.0,46.64599800109863,41.92
259.5,46.642523765563965,41.97
260.0,46.64176845550537,41.98
260.5,46.63825702667236,42.02
261.0,46.64097499847412,41.99
261.5,46.63477802276611,42.07
262.0,46.62316608428955,42.21
262.5,46.6187858581543,42.27
263.0,46.614383697509766,42.32
263.5,46.612704277038574,42.34
264.0,46.61555290222168,42.31
264.5,46.61934852600098,42.26
265.0,46.631131172180176,42.11
265.5,46.630374908447266,42.12
266.0,46.622368812561035,42.22
266.5,46.631545066833496,42.1
267.0,46.632601737976074,42.09
267.5,46.64348030090332,41.96
268.0,46.643649101257324,41.95
268.5,46.64017200469971,42.0
269.0,46.643025398254395,41.96
269.5,46.64224720001221,41.97
270.0,46.644192695617676,41.95
270.5,46.64615726470947,41.92
271.0,46.65176296234131,41.85
271.5,46.65629482269287,41.8
272.0,46.66007328033447,41.75
272.5,46.667433738708496,41.66
273.0,46.67483711242676,41.56
273.5,46.674062728881836,41.57
274.0,46.67060565948486,41.62
274.5,46.671661376953125,41.6
275.0,46.66894340515137,41.64
275.5,46.66724491119385,41.66
276.0,46.66739082336426,41.66
276.5,46.673890113830566,41.58
277.0,46.67677974700928,41.54
277.5,46.67315483093262,41.59
278.0,46.67056369781494,41.62
278.5,46.66527557373047,41.68
279.0,46.66178226470947,41.73
279.5,46.66554069519043,41.68
280.0,46.660268783569336,41.75
280.5,46.658610343933105,41.77
281.0,46.65785217285156,41.78
281.5,46.6524133682251,41.85
282.0,46.64346218109131,41.96
282.5,46.652676582336426,41.84
283.0,46.64650058746338,41.92
283.5,46.65388488769531,41.83
284.0,46.65297889709473,41.84
284.5,46.65222454071045,41.85
285.0,46.645081520080566,41.94
285.5,46.6552038192749,41.81
286.0,46.66806125640869,41.65
286.5,46.677276611328125,41.53
287.0,46.68558311462402,41.43
287.5,46.68467712402344,41.44
288.0,46.68675518035889,41.42
288.5,46.68766117095947,41.4
289.0,46.6968936920166,41.29
289.5,46.70790100097656,41.15
290.0,46.71061897277832,41.12
290.5,46.716209411621094,41.05
291.0,46.728105545043945,40.9
291.5,46.734771728515625,40.81
292.0,46.734771728515625,40.82
292.5,46.74488925933838,40.69
293.0,46.747742652893066,40.65
293.5,46.740492820739746,40.74
294.0,46.74334239959717,40.71
294.5,46.748005867004395,40.65
295.0,46.74635982513428,40.67
295.5,46.7427339553833,40.72
296.0,46.739410400390625,40.76
296.5,46.743149757385254,40.71
297.0,46.731515884399414,40.86
297.5,46.723358154296875,40.96
298.0,46.721696853637695,40.98
298.5,46.72186470031738,40.98
299.0,46.71927833557129,41.01
299.5,46.707496643066406,41.16
300.0,46.699599266052246,41.26
300.5,46.69416046142578,41.32
301.0,46.69719886779785,41.28
301.5,46.69991970062256,41.25
302.0,46.70460033416748,41.19
302.5,46.70109176635742,41.24
303.0,46.703810691833496,41.2
303.5,46.7040901184082,41.2
304.0,46.695024490356445,41.31
304.5,46.68613052368164,41.42
305.0,46.67449760437012,41.57
305.5,46.66905879974365,41.64
306.0,46.648478507995605,41.9
306.5,46.64485454559326,41.94
307.0,46.63684368133545,42.04
307.5,46.63792324066162,42.03
308.0,46.6398811340332,42.0
308.5,46.642601013183594,41.97
309.0,46.649210929870605,41.88
309.5,46.646491050720215,41.92
310.0,46.63665008544922,42.04
310.5,46.64135265350342,41.98
311.0,46.64603614807129,41.92
311.5,46.64161396026611,41.98
312.0,46.65082836151123,41.86
312.5,46.657175064086914,41.78
313.0,46.66927719116211,41.63
313.5,46.666690826416016,41.67
314.0,46.65505886077881,41.81
314.5,46.650527000427246,41.87
315.0,46.654282569885254,41.82
315.5,46.63991069793701,42.0
316.0,46.6400785446167,42.0
316.5,46.63373565673828,42.08
317.0,46.64022922515869,42.0
317.5,46.64125156402588,41.98
318.0,46.64774513244629,41.9
318.5,46.652427673339844,41.84
319.0,46.65259552001953,41.84
319.5,46.66528511047363,41.68
320.0,46.66994762420654,41.63
320.5,46.67384052276611,41.58
321.0,46.680185317993164,41.5
321.5,46.682146072387695,41.47
322.0,46.68320274353027,41.46
322.5,46.68337059020996,41.46
323.0,46.68427753448486,41.45
323.5,46.68984889984131,41.38
324.0,46.69647693634033,41.29
324.5,46.696475982666016,41.29
325.0,46.69388771057129,41.33
325.5,46.69660663604736,41.29
326.0,46.70327091217041,41.21
326.5,46.71505260467529,41.06
327.0,46.712446212768555,41.09
327.5,46.717129707336426,41.04
328.0,46.719093322753906,41.01
328.5,46.73013782501221,40.87
329.0,46.736483573913574,40.79
329.5,46.73389720916748,40.83
330.0,46.729496002197266,40.88
330.5,46.726908683776855,40.91
331.0,46.715274810791016,41.06
331.5,46.70547389984131,41.18
332.0,46.702903747558594,41.21
332.5,46.693840980529785,41.33
333.0,46.68398666381836,41.45
333.5,46.685946464538574,41.43
334.0,46.672499656677246,41.6
334.5,46.66993045806885,41.63
335.0,46.669931411743164,41.63
335.5,46.66645622253418,41.67
336.0,46.65752601623535,41.78
336.5,46.647687911987305,41.9
337.0,46.63424015045166,42.07
337.5,46.62987995147705,42.13
338.0,46.61280536651611,42.34
338.5,46.603742599487305,42.45
339.0,46.5975284576416,42.53
339.5,46.596755027770996,42.54
340.0,46.58963680267334,42.63
340.5,46.58419895172119,42.7
341.0,46.57258319854736,42.84
341.5,46.55732727050781,43.03
342.0,46.54478645324707,43.19
342.5,46.54504871368408,43.19
343.0,46.54595470428467,43.18
343.5,46.54612350463867,43.17
344.0,46.550655364990234,43.12
344.5,46.55171203613281,43.1
345.0,46.550031661987305,43.12
345.5,46.563629150390625,42.95
346.0,46.560264587402344,43.0
346.5,46.56041431427002,42.99
347.0,46.565853118896484,42.93
347.5,46.57327175140381,42.83
348.0,46.56979751586914,42.88
348.5,46.56900596618652,42.89
349.0,46.5691556930542,42.89
349.5,46.578219413757324,42.77
350.0,46.585771560668945,42.68
350.5,46.58410835266113,42.7
351.0,46.58603477478027,42.67
351.5,46.58603763580322,42.67
352.0,46.5798397064209,42.75
352.5,46.57908630371094,42.76
353.0,46.57562732696533,42.81
353.5,46.576666831970215,42.79
354.0,46.58314037322998,42.71
354.5,46.5958309173584,42.55
355.0,46.59960651397705,42.5
355.5,46.59792518615723,42.53
356.0,46.60172176361084,42.48
356.5,46.59371471405029,42.58
357.0,46.58646297454834,42.67
357.5,46.58400630950928,42.7
358.0,46.57040882110596,42.87
358.5,46.574185371398926,42.82
359.0,46.5761661529541,42.8
359.5,46.58445930480957,42.69
360.0,46.58899116516113,42.64
360.5,46.58109378814697,42.74
361.0,46.57293701171875,42.84
361.5,46.56493091583252,42.94
362.0,46.56690979003906,42.91
362.5,46.566155433654785,42.92
363.0,46.56717777252197,42.91
363.5,46.567176818847656,42.91
364.0,46.56385135650635,42.95
364.5,46.5440788269043,43.2
365.0,46.53592014312744,43.3
365.5,46.54330253601074,43.21
366.0,46.554311752319336,43.07
366.5,46.5479679107666,43.15
367.0,46.53994274139404,43.25
