Time,Temp1,Volt,Temp2,Temp3,Room_Temp
0.0,47.876922607421875,42.99,47.09379577636719,43.254295349121094,22.186433792114258
0.5,47.865909576416016,43.75,47.10091018676758,43.24691390991211,22.18998146057129
1.0,47.86228561401367,44.35,47.111785888671875,43.2324104309082,22.19734001159668
1.5,47.869384765625,44.74,47.10438537597656,43.25763702392578,22.204544067382812
2.0,47.86953353881836,45.27,47.115413665771484,43.25053787231445,22.19734001159668
2.5,47.86228561401367,45.95,47.097286224365234,43.25053787231445,22.19734001159668
3.0,47.826026916503906,47.22,47.10091018676758,43.25053787231445,22.19734001159668
3.5,47.79702377319336,48.35,47.04290008544922,43.261417388916016,22.208377838134766
4.0,47.77511978149414,49.35,47.002872467041016,43.25763702392578,22.204544067382812
4.5,47.7714958190918,49.98,46.970237731933594,43.250389099121094,22.211902618408203
5.0,47.771644592285156,50.53,46.93050765991211,43.23603820800781,22.215736389160156
5.5,47.75699234008789,51.38,46.857845306396484,43.243133544921875,22.197185516357422
6.0,47.75699234008789,51.94,46.821590423583984,43.23950958251953,22.19350814819336
6.5,47.746116638183594,52.73,46.79258728027344,43.214134216308594,22.17510986328125
7.0,47.7606201171875,53.0,46.763580322265625,43.210506439208984,22.17510986328125
7.5,47.75699234008789,53.63,46.77445602416992,43.19600296020508,22.18982696533203
8.0,47.75336456298828,54.26,46.78895950317383,43.18512725830078,22.19350814819336
8.5,47.738861083984375,55.12,46.803462982177734,43.17787551879883,22.18982696533203
9.0,47.746116638183594,55.54,46.81071472167969,43.18512725830078,22.17510986328125
9.5,47.764129638671875,55.74,46.806976318359375,43.18138885498047,22.189712524414062
10.0,47.739013671875,56.8,46.785484313964844,43.174400329589844,22.178943634033203
10.5,47.72798538208008,57.59,46.745452880859375,43.17787551879883,22.16775131225586
11.0,47.71348571777344,58.45,46.723697662353516,43.18512725830078,22.16775131225586
11.5,47.67722702026367,59.76,46.73820114135742,43.188751220703125,22.156713485717773
12.0,47.63734817504883,61.15,46.763580322265625,43.210506439208984,22.16039276123047
12.5,47.60823059082031,62.33,46.75984191894531,43.19951629638672,22.163957595825195
13.0,47.575714111328125,63.58,46.763580322265625,43.214134216308594,22.17510986328125
13.5,47.55022048950195,64.71,46.79609680175781,43.206764221191406,22.163957595825195
14.0,47.52495574951172,65.83,46.799835205078125,43.210506439208984,22.171430587768555
14.5,47.510337829589844,66.75,46.825103759765625,43.206764221191406,22.186033248901367
15.0,47.49946212768555,67.59,46.84685516357422,43.19951629638672,22.189712524414062
15.5,47.49946212768555,68.21,46.89398956298828,43.206764221191406,22.193391799926758
16.0,47.528465270996094,68.25,46.91574478149414,43.206764221191406,22.197071075439453
16.5,47.5538444519043,68.35,46.91574478149414,43.19588851928711,22.20075035095215
17.0,47.56109619140625,68.82,46.91574478149414,43.177764892578125,22.197071075439453
17.5,47.564720153808594,69.36,46.904869079589844,43.20314407348633,22.20810890197754
18.0,47.5900993347168,69.45,46.904869079589844,43.19226837158203,22.211788177490234
18.5,47.58285140991211,70,46.90848922729492,43.20314407348633,22.20810890197754
19.0,47.57197570800781,70,46.93024444580078,43.22126770019531,22.219146728515625
19.5,47.5900993347168,70,46.93024444580078,43.21764373779297,22.219146728515625
20.0,47.61910629272461,70,46.94474792480469,43.23939895629883,22.22282600402832
20.5,47.597354888916016,70,46.941123962402344,43.26115036010742,22.21546745300293
21.0,47.60097885131836,70,46.92662048339844,43.27565383911133,22.20810890197754
21.5,47.61910629272461,70,46.94474792480469,43.290157318115234,22.211788177490234
22.0,47.62635803222656,70,46.959251403808594,43.30103302001953,22.20810890197754
22.5,47.62635803222656,70,46.937496185302734,43.31190872192383,22.20810890197754
23.0,47.629981994628906,70,46.91211700439453,43.326412200927734,22.197071075439453
23.5,47.637237548828125,70,46.87586212158203,43.326412200927734,22.193391799926758
24.0,47.666236877441406,70,46.86498260498047,43.33728790283203,22.182353973388672
24.5,47.68782424926758,70,46.86481475830078,43.35162353515625,22.18218231201172
25.0,47.70595169067383,70,46.88656997680664,43.3443717956543,22.193220138549805
25.5,47.71320343017578,70,46.87931823730469,43.35162353515625,22.178503036499023
26.0,47.702327728271484,70,46.88656997680664,43.34799575805664,22.185861587524414
26.5,47.69144821166992,70,46.8720703125,43.34799575805664,22.178503036499023
27.0,47.67694854736328,70,46.86481475830078,43.34074783325195,22.178503036499023
27.5,47.67694854736328,70,46.86481475830078,43.32261657714844,22.171146392822266
28.0,47.67694854736328,70,46.857566833496094,43.32624435424805,22.18218231201172
28.5,47.66969680786133,70,46.890193939208984,43.337120056152344,22.18218231201172
29.0,47.68782424926758,70,46.87931823730469,43.3443717956543,22.171146392822266
29.5,47.65882110595703,70,46.890193939208984,43.373374938964844,22.174823760986328
30.0,47.644317626953125,70,46.90469741821289,43.39875411987305,22.178503036499023
30.5,47.666072845458984,70,46.87931823730469,43.42413330078125,22.174823760986328
31.0,47.65882110595703,70,46.86481475830078,43.44951248168945,22.185861587524414
31.5,47.6695442199707,70,46.83928680419922,43.47836685180664,22.18570899963379
32.0,47.65504455566406,70,46.84653854370117,43.49286651611328,22.170991897583008
32.5,47.662445068359375,70,46.8720703125,43.51115036010742,22.18218231201172
33.0,47.680572509765625,70,46.8829460144043,43.529273986816406,22.189542770385742
33.5,47.68767547607422,70,46.92992401123047,43.521873474121094,22.18570899963379
34.0,47.713050842285156,70,46.99156188964844,43.53274917602539,22.182029724121094
34.5,47.74583435058594,70,47.01708984375,43.54377746582031,22.178503036499023
35.0,47.774688720703125,70,46.99156188964844,43.54000473022461,22.170991897583008
