Time,Temp1,Volt,Temp2,Temp3,Room_Temp
0.0,48.70952606201172,16.45,47.7813720703125,44.47846221923828,22.008529663085938
0.5,48.6913948059082,17.01,47.78499984741211,44.48208999633789,22.004850387573242
1.0,48.67338180541992,17.56,47.774234771728516,44.474952697753906,22.001285552978516
1.5,48.68062973022461,17.8,47.74885559082031,44.46769714355469,22.001285552978516
2.0,48.70600891113281,17.81,47.719852447509766,44.46044921875,22.00496482849121
2.5,48.70600891113281,18.13,47.69447326660156,44.46044921875,22.019681930541992
3.0,48.691505432128906,18.64,47.65459060668945,44.45319747924805,22.019681930541992
3.5,48.695133209228516,18.92,47.60383224487305,44.44232177734375,22.030719757080078
4.0,48.70238494873047,19.16,47.5857048034668,44.4350700378418,22.016002655029297
4.5,48.73139190673828,19.11,47.578453063964844,44.438697814941406,22.03439712524414
5.0,48.75694274902344,19.1,47.63301086425781,44.4424934387207,22.03089141845703
5.5,48.792911529541016,18.95,47.672607421875,44.427703857421875,22.030607223510742
6.0,48.83653259277344,18.7,47.73072814941406,44.43144226074219,22.027040481567383
6.5,48.79302215576172,19.55,47.69447326660156,44.42056655883789,22.023361206054688
7.0,48.79302215576172,19.85,47.65821838378906,44.4241943359375,22.03439712524414
7.5,48.77852249145508,20.33,47.61833190917969,44.41693878173828,22.016002655029297
8.0,48.74226379394531,21.1,47.59295654296875,44.40243911743164,22.00496482849121
8.5,48.716888427734375,21.74,47.589332580566406,44.39518737792969,22.001285552978516
9.0,48.716888427734375,22.06,47.589332580566406,44.38068389892578,22.001285552978516
9.5,48.74589157104492,22.01,47.6219596862793,44.373435974121094,22.00496482849121
10.0,48.76401901245117,22.09,47.6219596862793,44.39155960083008,22.0123233795166
10.5,48.76056671142578,22.45,47.6148796081543,44.402610778808594,22.00881576538086
11.0,48.771270751953125,22.62,47.61833190917969,44.406063079833984,21.993927001953125
11.5,48.764190673828125,23.02,47.62213134765625,44.4279899597168,21.979381561279297
12.0,48.746063232421875,23.56,47.54962158203125,44.420738220214844,21.96834373474121
12.5,48.724308013916016,24.15,47.50611114501953,44.4171142578125,21.960983276367188
13.0,48.709808349609375,24.65,47.46623229980469,44.4279899597168,21.957305908203125
13.5,48.70255661010742,25.07,47.43360137939453,44.438865661621094,21.94626808166504
14.0,48.70618438720703,25.35,47.40459442138672,44.43524169921875,21.95362663269043
14.5,48.727935791015625,25.39,47.38646697998047,44.431617736816406,21.949947357177734
15.0,48.738643646240234,25.57,47.389923095703125,44.427818298339844,21.964492797851562
15.5,48.75331497192383,25.7,47.422725677490234,44.42436218261719,21.9757022857666
16.0,48.77506637573242,25.74,47.458980560302734,44.4171142578125,21.994098663330078
16.5,48.81494903564453,25.53,47.495235443115234,44.40986251831055,22.019853591918945
17.0,48.836700439453125,25.55,47.531490325927734,44.40986251831055,22.027212142944336
17.5,48.84773254394531,25.7,47.55339813232422,44.395511627197266,22.042081832885742
18.0,48.869483947753906,25.71,47.58602523803711,44.391883850097656,22.056800842285156
18.5,48.862083435058594,26.09,47.618507385253906,44.39173126220703,22.071365356445312
19.0,48.88383483886719,26.1,47.62213134765625,44.380855560302734,22.067684173583984
19.5,48.88398742675781,26.37,47.61140441894531,44.39913558959961,22.08255386352539
20.0,48.8187255859375,27.49,47.61140441894531,44.40638732910156,22.097270965576172
20.5,48.76434326171875,28.47,47.56789779663086,44.40638732910156,22.097270965576172
21.0,48.746212005615234,29.01,47.542518615722656,44.413639068603516,22.119346618652344
21.5,48.727935791015625,29.56,47.52061462402344,44.41348648071289,22.111835479736328
22.0,48.70270538330078,30.2,47.509891510009766,44.41726303100586,22.111989974975586
22.5,48.688201904296875,30.71,47.44462966918945,44.40638732910156,22.104631423950195
23.0,48.68095397949219,31.13,47.41925048828125,44.40276336669922,22.108308792114258
23.5,48.68442916870117,31.42,47.39734649658203,44.39535903930664,22.09343910217285
24.0,48.67007827758789,31.93,47.39024353027344,44.391883850097656,22.097270965576172
24.5,48.673702239990234,32.21,47.39024353027344,44.38100814819336,22.100950241088867
25.0,48.652095794677734,32.82,47.36138916015625,44.35940170288086,22.108461380004883
25.5,48.63382339477539,33.39,47.33223342895508,44.3483772277832,22.111989974975586
26.0,48.597564697265625,34.19,47.31773376464844,44.34112548828125,22.123027801513672
26.5,48.619319915771484,34.27,47.32498550415039,44.35200119018555,22.134065628051758
27.0,48.63019561767578,34.47,47.368492126464844,44.355628967285156,22.134065628051758
27.5,48.63019561767578,34.82,47.37211608886719,44.33387756347656,22.14878273010254
28.0,48.62671661376953,35.2,47.357765197753906,44.315895080566406,22.145254135131836
28.5,48.615692138671875,35.69,47.32498550415039,44.31574630737305,22.15614128112793
29.0,48.62309265136719,35.94,47.34326171875,44.3122673034668,22.15997314453125
29.5,48.633968353271484,36.14,47.34326171875,44.3122673034668,22.15261459350586
30.0,48.63019561767578,36.53,47.346736907958984,44.30487060546875,22.159820556640625
30.5,48.64122009277344,36.74,47.383140563964844,44.3013916015625,22.156291961669922
31.0,48.64484405517578,37.03,47.39764404296875,44.29414367675781,22.1746883392334
31.5,48.652095794677734,37.28,47.41939926147461,44.286888122558594,22.171009063720703
32.0,48.655723571777344,37.57,47.4266471862793,44.26513671875,22.167329788208008
32.5,48.652095794677734,37.95,47.4520263671875,44.23612976074219,22.167329788208008
33.0,48.655723571777344,38.24,47.470157623291016,44.2288818359375,22.15261459350586
33.5,48.619468688964844,39.04,47.4411506652832,44.2288818359375,22.15261459350586
34.0,48.62671661376953,39.29,47.43389892578125,44.21075439453125,22.156291961669922
