Time,Temp1,Volt,Temp2,Temp3,Room_Temp,Integral_Value
0.0,44.2806396484375,70,39.96966552734375,39.182708740234375,21.9328670501709,2.85968017578125
0.5,44.266136169433594,70,39.95145034790039,39.241004943847656,21.936548233032227,5.726612091064453
1.0,44.25525665283203,70,39.95509338378906,39.31022644042969,21.943904876708984,8.598983764648438
1.5,44.255088806152344,70,39.954925537109375,39.37199401855469,21.951093673706055,11.471439361572266
2.0,44.236961364746094,70,39.96221160888672,39.375640869140625,21.94005584716797,14.352958679199219
2.5,44.22245788574219,70,39.965850830078125,39.364707946777344,21.943735122680664,17.241729736328125
3.0,44.218833923339844,70,39.95856857299805,39.357421875,21.94741439819336,20.132312774658203
3.5,44.22970962524414,70,39.95856857299805,39.37928009033203,21.95477294921875,23.017457962036133
4.0,44.22956085205078,70,39.947486877441406,39.42649459838867,21.93990135192871,25.902677536010742
4.5,44.22245788574219,70,39.94035339355469,39.46307373046875,21.943735122680664,28.79144859313965
5.0,44.21158218383789,70,39.943992614746094,39.44121551513672,21.951093673706055,31.685657501220703
5.5,44.20780563354492,70,39.94020080566406,39.43013381958008,21.93622398376465,34.58175468444824
6.0,44.22230911254883,69.48,39.95477294921875,39.393699645996094,21.93622398376465,37.47060012817383
6.5,44.22593688964844,70,39.972991943359375,39.36091232299805,21.93254280090332,40.35763168334961
7.0,44.24043655395508,69.82,40.009376525878906,39.34998321533203,21.925186157226562,43.23741340637207
7.5,44.26219177246094,64.56,40.03838348388672,39.34998321533203,21.93254280090332,46.1063175201416
8.0,44.27654266357422,70,40.034603118896484,39.320682525634766,21.9287109375,48.96804618835449
8.5,44.25856399536133,70,40.067386627197266,39.3536262512207,21.93622398376465,51.83876419067383
9.0,44.27291488647461,70,40.0889892578125,39.36075973510742,21.93975067138672,54.70230674743652
9.5,44.29467010498047,65.27,40.0889892578125,39.30975341796875,21.93975067138672,57.55497169494629
10.0,44.30180740356445,70,40.12875747680664,39.280494689941406,21.946992874145508,60.40406799316406
10.5,44.31642532348633,70,40.14699935913086,39.26239013671875,21.961824417114258,63.2458553314209
11.0,44.3416862487793,62.96,40.15776062011719,39.27320861816406,21.958032608032227,66.07501220703125
11.5,44.35981750488281,68.18,40.15776062011719,39.28778076171875,21.958032608032227,68.89510345458984
12.0,44.374168395996094,70,40.17573928833008,39.30220031738281,21.965238571166992,71.7080192565918
12.5,44.39591979980469,65.63,40.190242767333984,39.309486389160156,21.961559295654297,74.51005935668945
13.0,44.41767501831055,65.62,40.20111846923828,39.28398895263672,21.9578800201416,77.30122184753418
13.5,44.4358024597168,68.3,40.17936706542969,39.28034210205078,21.95052146911621,80.08332061767578
14.0,44.43929672241211,70,40.17923355102539,39.28749465942383,21.957744598388672,82.86367225646973
14.5,44.453800201416016,70,40.204612731933594,39.30571365356445,21.954065322875977,85.63677215576172
15.0,44.4610481262207,70,40.240867614746094,39.327571868896484,21.961421966552734,88.40624809265137
15.5,44.50093078613281,52.75,40.291622161865234,39.37129211425781,21.961421966552734,91.15578269958496
16.0,44.468299865722656,70,40.3532600402832,39.41136932373047,21.95038604736328,93.92163276672363
16.5,44.44292068481445,70,40.400390625,39.46601867675781,21.954065322875977,96.7001724243164
17.0,44.43550109863281,70,40.46186065673828,39.49863815307617,21.946537017822266,99.482421875
17.5,44.43550109863281,70,40.50174331665039,39.50592803955078,21.946537017822266,102.2646713256836
18.0,44.446380615234375,70,40.519866943359375,39.4949951171875,21.950214385986328,105.0414810180664
18.5,44.46435546875,70,40.54509735107422,39.48027038574219,21.9537410736084,107.8093032836914
19.0,44.47175598144531,70,40.57062530517578,39.476776123046875,21.946537017822266,110.57342529296875
19.5,44.500762939453125,62.86,40.57425308227539,39.49135208129883,21.946537017822266,113.32304382324219
20.0,44.52236557006836,68.23,40.555973052978516,39.52763366699219,21.939023971557617,116.06186103820801
20.5,44.52236557006836,70,40.574100494384766,39.49848937988281,21.939023971557617,118.80067825317383
21.0,44.53675842285156,70,40.60662078857422,39.509307861328125,21.931550979614258,121.53229904174805
21.5,44.558509826660156,68.46,40.61387252807617,39.52388000488281,21.931550979614258,124.25304412841797
22.0,44.57301330566406,70,40.64650344848633,39.55302429199219,21.93890953063965,126.96653747558594
22.5,44.58388900756836,70,40.657379150390625,39.51294708251953,21.942588806152344,129.67459297180176
23.0,44.60201644897461,70,40.67188262939453,39.502017974853516,21.935230255126953,132.37358474731445
23.5,44.616371154785156,70,40.675357818603516,39.53101348876953,21.927719116210938,135.06539916992188
24.0,44.638275146484375,68.65,40.697261810302734,39.545738220214844,21.935230255126953,137.7462615966797
24.5,44.66727828979492,63.38,40.697261810302734,39.58945846557617,21.931550979614258,140.41262245178223
25.0,44.65625,70,40.711612701416016,39.611167907714844,21.931400299072266,143.08449745178223
25.5,44.6453742980957,70,40.67898178100586,39.633026123046875,21.920360565185547,145.76181030273438
26.0,44.652626037597656,70,40.68260955810547,39.66581726074219,21.927719116210938,148.43549728393555
26.5,44.66350173950195,70,40.67898178100586,39.691322326660156,21.920360565185547,151.10374641418457
27.0,44.66350173950195,70,40.68260955810547,39.69496536254883,21.927719116210938,153.7719955444336
27.5,44.66350173950195,70,40.70798873901367,39.64031219482422,21.927719116210938,156.44024467468262
28.0,44.68163299560547,70,40.75149154663086,39.60023498535156,21.913002014160156,159.09942817687988
28.5,44.674224853515625,70,40.79847717285156,39.5745849609375,21.916528701782227,161.76231575012207
29.0,44.6849365234375,70,40.84181594848633,39.55619812011719,21.931076049804688,164.41984748840332
29.5,44.70306396484375,70,40.85631561279297,39.54526901245117,21.93475341796875,167.06831550598145
30.0,44.71048355102539,70,40.89274215698242,39.56365203857422,21.93860626220703,169.71307373046875
30.5,44.72119140625,70,40.946956634521484,39.55619812011719,21.96051025390625,172.35247802734375
31.0,44.73931884765625,70,41.001338958740234,39.57441329956055,21.956830978393555,174.98281860351562
31.5,44.77920150756836,57.72,41.05209732055664,39.5889892578125,21.96051025390625,177.59321784973145
32.0,44.78282928466797,70,41.077476501464844,39.60356140136719,21.96051025390625,180.20180320739746
32.5,44.78645324707031,70,41.11735916137695,39.581703186035156,21.96051025390625,182.8085765838623
33.0,44.80095291137695,70,41.16448974609375,39.54526901245117,21.971546173095703,185.40810012817383
33.5,44.829959869384766,65.98,41.15724182128906,39.5671272277832,21.978906631469727,187.99312019348145
34.0,44.82270812988281,70,41.18986892700195,39.53797912597656,22.0009822845459,190.58176612854004
34.5,44.862457275390625,58.27,41.22236633300781,39.51234436035156,22.01556396484375,193.15053749084473
35.0,44.86970901489258,70,41.287628173828125,39.50870132446289,22.02292251586914,195.71568298339844
35.5,44.898712158203125,66.11,41.305755615234375,39.52691650390625,22.030282974243164,198.26632690429688
36.0,44.91321563720703,70,41.323883056640625,39.545135498046875,22.026601791381836,200.80971908569336
36.5,44.920467376708984,70,41.32025909423828,39.581565856933594,22.037641525268555,203.34948539733887
37.0,44.945716857910156,68.97,41.370887756347656,39.64701843261719,22.04486846923828,205.8766269683838
37.5,44.9493408203125,70,41.41802215576172,39.65430450439453,22.037508010864258,208.40195655822754
38.0,44.95659637451172,70,41.46152877807617,39.643375396728516,22.048545837402344,210.92365837097168
38.5,44.98922348022461,63.8,41.50141143798828,39.66523361206055,22.05958366394043,213.42904663085938
39.0,45.01823043823242,66.29,41.53041458129883,39.7271728515625,22.06694221496582,215.91993141174316
39.5,45.05448532104492,60.8,41.577545166015625,39.77088928222656,22.077980041503906,218.3926887512207
40.0,45.079864501953125,68.61,41.64280700683594,39.7745361328125,22.089017868041992,220.85275650024414
40.5,45.094364166259766,70,41.7008171081543,39.756317138671875,22.096376419067383,223.30557441711426
41.0,45.06883239746094,70,41.740543365478516,39.759803771972656,22.118297576904297,225.7711582183838
41.5,45.07245635986328,70,41.747798919677734,39.75251770019531,22.118297576904297,228.23493003845215
42.0,45.094215393066406,70,41.75141906738281,39.7889518737793,22.129335403442383,230.68782234191895
42.5,45.11959457397461,69.31,41.80580520629883,39.785308837890625,22.13301658630371,233.12802505493164
43.0,45.144840240478516,69.32,41.809303283691406,39.796104431152344,22.114486694335938,235.55560493469238
43.5,45.15584945678711,70,41.86743927001953,39.82538604736328,22.096223831176758,237.97768020629883
44.0,45.184852600097656,66.54,41.914573669433594,39.84724426269531,22.088863372802734,240.38525390625
44.5,45.21023178100586,69.08,41.979835510253906,39.82538604736328,22.07782745361328,242.78013801574707
45.0,45.23548126220703,69.08,42.00145721435547,39.8580436706543,22.074012756347656,245.16239738464355
45.5,45.27173614501953,60.84,42.03046417236328,39.872615814208984,22.070335388183594,247.5265293121338
46.0,45.28986358642578,70,42.05946731567383,39.89812088012695,22.070335388183594,249.8815975189209
46.5,45.28986358642578,70,42.088470458984375,39.927268981933594,22.074012756347656,252.236665725708
47.0,45.300743103027344,70,42.12110137939453,39.99284362792969,22.062976837158203,254.58629417419434
47.5,45.31174850463867,70,42.15748596191406,40.029266357421875,22.066789627075195,256.930419921875
48.0,45.42038345336914,7.5,42.179107666015625,40.01826095581055,22.0666561126709,259.22022819519043
48.5,45.336997985839844,70,42.20811462402344,40.029136657714844,22.074012756347656,261.5517292022705
49.0,45.34062194824219,70,42.24799728393555,40.00738525390625,22.0666561126709,263.8814182281494
49.5,45.36237716674805,70,42.26250076293945,39.967342376708984,22.062976837158203,266.2002296447754
50.0,45.38788604736328,69.21,42.29163360595703,39.952903747558594,22.063108444213867,268.50628662109375
50.5,45.435020446777344,53.12,42.313385009765625,39.945613861083984,22.063108444213867,270.7887763977051
51.0,45.4167594909668,70,42.345890045166016,39.974632263183594,22.059297561645508,273.0803966522217
51.5,45.42401123046875,70,42.39302062988281,39.970985412597656,22.051939010620117,275.3683910369873
52.0,45.438514709472656,70,42.42565155029297,39.978275299072266,22.048259735107422,277.649133682251
52.5,45.4675178527832,66.76,42.48003387451172,39.98191833496094,22.037220001220703,279.9153747558594
53.0,45.5146484375,53.21,42.516292572021484,40.0001335144043,22.022504806518555,282.1580505371094
53.5,45.529151916503906,70,42.49091339111328,40.0508918762207,21.996749877929688,284.3934745788574
54.0,45.565406799316406,60.88,42.48003387451172,40.112525939941406,22.004108428955078,286.6107711791992
54.5,45.587162017822266,70,42.48728561401367,40.19228744506836,21.993070602416992,288.8171901702881
55.0,45.60166549682617,70,42.51991653442383,40.243045806884766,21.982030868530273,291.016357421875
55.5,45.61979293823242,70,42.58155059814453,40.29380798339844,21.982030868530273,293.2064609527588
56.0,45.6235466003418,70,42.60343551635742,40.35557174682617,21.993202209472656,295.3946876525879
56.5,45.627174377441406,70,42.60343551635742,40.41358184814453,22.000560760498047,297.5811004638672
57.0,45.627044677734375,70,42.63230895996094,40.4605827331543,22.01882553100586,299.767578125
57.5,45.630802154541016,70,42.63606643676758,40.48246765136719,22.018957138061523,301.9521770477295
58.0,45.645172119140625,70,42.63593292236328,40.4605827331543,22.007787704467773,304.1295909881592
58.5,45.65242385864258,70,42.664939880371094,40.42795181274414,22.004108428955078,306.3033790588379
59.0,45.65604782104492,70,42.66856384277344,40.40982437133789,22.01882553100586,308.47535514831543
59.5,45.67780303955078,70,42.701194763183594,40.395320892333984,22.01882553100586,310.63645362854004
60.0,45.68505096435547,70,42.712074279785156,40.40620040893555,22.01882553100586,312.7939281463623
60.5,45.67055130004883,70,42.74107360839844,40.398948669433594,22.01882553100586,314.9586524963379
61.0,45.67417526245117,70,42.748329162597656,40.417076110839844,22.02618408203125,317.1215648651123
61.5,45.69230651855469,70,42.766456604003906,40.417076110839844,22.022504806518555,319.27541160583496
62.0,45.71405792236328,70,42.784584045410156,40.431575775146484,22.029863357543945,321.4183826446533
62.5,45.74289321899414,67.61,42.78804016113281,40.43865966796875,22.040729522705078,323.54693603515625
63.0,45.73218536376953,70,42.80633544921875,40.47871017456055,22.037220001220703,325.6808433532715
63.5,45.75376892089844,70,42.82429885864258,40.51842498779297,22.048086166381836,327.80395889282227
64.0,45.78294372558594,67.48,42.8498420715332,40.56572723388672,22.044580459594727,329.9124870300293
64.5,45.8262825012207,56.83,42.87867736816406,40.59093475341797,22.040729522705078,331.99934577941895
65.0,45.833702087402344,70,42.92235565185547,40.58747863769531,22.03354263305664,334.0824947357178
65.5,45.833534240722656,70,42.95481872558594,40.623565673828125,22.033370971679688,336.16572761535645
66.0,45.83732604980469,70,42.96949005126953,40.649112701416016,22.02618408203125,338.2470645904541
66.5,45.833702087402344,70,42.98399353027344,40.65273666381836,22.044580459594727,340.33021354675293
67.0,45.851829528808594,70,43.03474807739258,40.65273666381836,22.059297561645508,342.40429878234863
67.5,45.84820556640625,70,43.052879333496094,40.66361618041992,22.051939010620117,344.4801959991455
68.0,45.8663330078125,70,43.089134216308594,40.65273666381836,22.051939010620117,346.54702949523926
68.5,45.87358474731445,70,43.10725784301758,40.67449188232422,22.048259735107422,348.61023712158203
69.0,45.88446044921875,70,43.1507682800293,40.73250198364258,22.04090118408203,350.66800689697266
69.5,45.87721252441406,70,43.154396057128906,40.79051208496094,22.037220001220703,352.7294006347656
70.0,45.91346740722656,63.1,43.190650939941406,40.85939407348633,22.037220001220703,354.77266693115234
70.5,45.949554443359375,62.95,43.21223449707031,40.8556022644043,22.033370971679688,356.79788970947266
71.0,45.96784973144531,70,43.21965408325195,40.84489440917969,22.015146255493164,358.81396484375
71.5,46.00031280517578,65.31,43.24848937988281,40.87373352050781,22.007614135742188,360.8138084411621
72.0,46.04398727416992,56.79,43.281288146972656,40.91015625,22.01146697998047,362.79181480407715
72.5,46.06919860839844,70,43.331878662109375,40.92811584472656,22.007614135742188,364.75721549987793
73.0,46.09095001220703,70,43.389888763427734,40.90998840332031,22.003934860229492,366.7117404937744
73.5,46.105621337890625,70,43.42993927001953,40.88477325439453,22.004108428955078,368.6589298248291
74.0,46.12358093261719,70,43.4877815246582,40.8701057434082,22.000255584716797,370.5971393585205
74.5,46.13083267211914,70,43.534912109375,40.8556022644043,21.992897033691406,372.53172302246094
