Time,Temp1,Volt,Temp2,Temp3,Room_Temp
0.0,43.02495193481445,70,42.72765350341797,39.79719543457031,21.916900634765625,20.92514419555664
0.5,43.02132797241211,70,42.72765350341797,39.79719543457031,21.92793846130371,41.86116027832031
1.0,43.0177001953125,70,42.738529205322266,39.80812072753906,21.924257278442383,62.80805969238281
1.5,43.003196716308594,70,42.742156982421875,39.80447769165039,21.916900634765625,83.79846954345703
2.0,42.98869323730469,70,42.73128128051758,39.819053649902344,21.916900634765625,104.83238983154297
2.5,42.99957275390625,70,42.705902099609375,39.815406799316406,21.920578002929688,125.83367156982422
3.0,43.003196716308594,70,42.702274322509766,39.80812072753906,21.924257278442383,146.82408142089844
3.5,42.99957275390625,70,42.69502258300781,39.793548583984375,21.924257278442383,167.8253631591797
4.0,42.95969009399414,70,42.68414306640625,39.80083465576172,21.92793846130371,188.94629287719727
4.5,42.95243835449219,70,42.68414306640625,39.7899055480957,21.931615829467773,210.0889778137207
5.0,42.948814392089844,70,42.662391662597656,39.76076126098633,21.920578002929688,231.24253463745117
5.5,42.966941833496094,70,42.65876770019531,39.73889923095703,21.92793846130371,252.3417091369629
6.0,43.01044845581055,70,42.64788818359375,39.72796630859375,21.924257278442383,273.31036376953125
6.5,43.01407241821289,70,42.63701248168945,39.717041015625,21.92793846130371,294.2681465148926
7.0,43.021175384521484,70,42.64411544799805,39.69866943359375,21.913066864013672,315.2046203613281
7.5,43.032203674316406,70,42.65514373779297,39.69153594970703,21.9352970123291,336.1080093383789
8.0,43.06830596923828,70,42.654991149902344,39.687744140625,21.946178436279297,356.90309143066406
8.5,43.07918167114258,70,42.66223907470703,39.68409729003906,21.953536987304688,377.6655464172363
9.0,43.093685150146484,70,42.66586685180664,39.69138717651367,21.949859619140625,398.3844909667969
9.5,43.12631607055664,70,42.66949462890625,39.67681121826172,21.96089744567871,419.00554275512695
10.0,43.151695251464844,70,42.68037033081055,39.669525146484375,21.957216262817383,439.5504570007324
10.5,43.169822692871094,70,42.687618255615234,39.66223907470703,21.964574813842773,460.04098892211914
11.0,43.19157791137695,70,42.70574951171875,39.67681121826172,21.97561264038086,480.4662551879883
11.5,43.224205017089844,70,42.71299743652344,39.69866943359375,21.97561264038086,500.79364013671875
12.0,43.23160934448242,70,42.72402572631836,39.70610809326172,21.957372665405273,521.0988121032715
12.5,43.23160934448242,70,42.73128128051758,39.724327087402344,21.938976287841797,541.4039840698242
13.0,43.253211975097656,70,42.7347526550293,39.75696563720703,21.946178436279297,561.6443481445312
