Time,Temp2,Temp3,Temp4
0.0,42.9547233581543,40.663352966308594,37.74101257324219
0.5,42.95442199707031,40.67030334472656,37.73706817626953
1.0,42.91786575317383,40.65912628173828,37.73676681518555
1.5,42.92123031616211,40.67336654663086,37.74378967285156
2.0,42.920928955078125,40.68394088745117,37.710697174072266
2.5,42.924285888671875,40.68367385864258,37.71043014526367
3.0,42.90946578979492,40.686981201171875,37.70646667480469
3.5,42.909183502197266,40.69757843017578,37.72804260253906
4.0,42.927032470703125,40.68641662597656,37.73140335083008
4.5,43.053775787353516,40.67901611328125,37.72396469116211
5.0,42.91932678222656,40.67509078979492,37.716373443603516
5.5,42.940818786621094,40.66757583618164,37.741615295410156
6.0,42.951377868652344,40.63462829589844,37.741294860839844
6.5,42.96198654174805,40.634361267089844,37.72645568847656
7.0,42.94356155395508,40.64493942260742,37.70429229736328
7.5,42.97589111328125,40.6446418762207,37.70035171508789
8.0,42.96837615966797,40.6407470703125,37.67822265625
8.5,42.97545623779297,40.63332748413086,37.67805480957031
9.0,42.97517776489258,40.63667297363281,37.677772521972656
9.5,42.96403503417969,40.636409759521484,37.684791564941406
10.0,42.9963493347168,40.661468505859375,37.70268630981445
10.5,43.01056671142578,40.66844177246094,37.69511795043945
11.0,43.017555236816406,40.67179870605469,37.70578384399414
11.5,42.99185562133789,40.68235778808594,37.72367858886719
12.0,42.99159240722656,40.70747375488281,37.74163055419922
12.5,43.009403228759766,40.73615646362305,37.74859619140625
13.0,42.99448776245117,40.732120513916016,37.73725128173828
13.5,42.98710250854492,40.728363037109375,37.718902587890625
14.0,43.019264221191406,40.753273010253906,37.71843338012695
14.5,43.02988052368164,40.771141052246094,37.7254524230957
15.0,43.036956787109375,40.792720794677734,37.73985290527344
15.5,43.04393005371094,40.80331802368164,37.754146575927734
16.0,43.072669982910156,40.828433990478516,37.772098541259766
16.5,43.090476989746094,40.8498649597168,37.793636322021484
17.0,43.09758377075195,40.864219665527344,37.7971305847168
17.5,43.111820220947266,40.87483596801758,37.78957748413086
18.0,43.133121490478516,40.89613723754883,37.78548049926758
18.5,43.13286209106445,40.899497985839844,37.78886413574219
19.0,43.12528991699219,40.910057067871094,37.79218673706055
19.5,43.12153244018555,40.91354751586914,37.78840637207031
20.0,43.13197326660156,40.92036437988281,37.795257568359375
20.5,43.1173210144043,40.91659164428711,37.795108795166016
21.0,43.12430953979492,40.901824951171875,37.79484176635742
21.5,43.09138107299805,40.908775329589844,37.82368850708008
22.0,43.098331451416016,40.91210174560547,37.83067321777344
22.5,43.12344741821289,40.92996597290039,37.83769607543945
