Time,Temp1,Volt,Temp2,Temp3,Room_Temp
0.0,41.60272216796875,70,41.269168853759766,38.40808868408203,21.857017517089844,4.198638916015625
0.5,41.59184646606445,70,41.272796630859375,38.40080261230469,21.86069679260254,8.402715682983398
1.0,41.57734298706055,70,41.269168853759766,38.39351272583008,21.86069679260254,12.614044189453125
1.5,41.57024383544922,70,41.27656936645508,38.38273620605469,21.85717010498047,16.828922271728516
2.0,41.58112335205078,70,41.2838249206543,38.360877990722656,21.86452865600586,21.038360595703125
2.5,41.59199905395508,70,41.29832458496094,38.38273620605469,21.868207931518555,25.242361068725586
3.0,41.60649871826172,70,41.291072845458984,38.40095138549805,21.875566482543945,29.439111709594727
3.5,41.61388397216797,70,41.28395462036133,38.393798828125,21.879379272460938,33.63216972351074
4.0,41.64301681518555,70,41.29133605957031,38.38663864135742,21.897911071777344,37.81066131591797
4.5,41.66826629638672,70,41.291202545166016,38.38286590576172,21.90145492553711,41.97652816772461
5.0,41.69740295410156,70,41.294960021972656,38.38663864135742,21.908946990966797,46.12782669067383
5.5,41.722782135009766,70,41.30946350097656,38.38663864135742,21.92366600036621,50.266435623168945
6.0,41.737449645996094,70,41.30963134765625,38.39045333862305,21.927515029907227,54.3977108001709
6.5,41.74832534790039,70,41.313255310058594,38.38316345214844,21.927515029907227,58.5235481262207
7.0,41.7628288269043,70,41.3277587890625,38.39773941040039,21.938552856445312,62.642133712768555
7.5,41.773704528808594,70,41.324134826660156,38.423240661621094,21.945911407470703,66.75528144836426
8.0,41.77397155761719,70,41.32440185546875,38.456298828125,21.938819885253906,70.86829566955566
8.5,41.7520866394043,70,41.3278923034668,38.46709442138672,21.95340347290039,74.99225234985352
9.0,41.74496841430664,70,41.33527755737305,38.496376037597656,21.946178436279297,79.1197681427002
9.5,41.7558479309082,70,41.33527755737305,38.547386169433594,21.935142517089844,83.2418441772461
10.0,41.73423767089844,70,41.335426330566406,38.60582733154297,21.93161392211914,87.37472534179688
10.5,41.71611404418945,70,41.32455062866211,38.627685546875,21.927934646606445,91.51666831970215
11.0,41.71973419189453,70,41.32455062866211,38.634971618652344,21.935293197631836,95.65680122375488
11.5,41.72710037231445,70,41.33553695678711,38.660587310791016,21.942766189575195,99.79325103759766
12.0,41.7452278137207,70,41.33916473388672,38.660587310791016,21.942766189575195,103.9206371307373
12.5,41.76713180541992,70,41.34656524658203,38.64616394042969,21.946598052978516,108.03707122802734
13.0,41.80338668823242,70,41.35744094848633,38.64616394042969,21.964994430541992,112.13537788391113
13.5,41.832393646240234,70,41.371944427490234,38.66438293457031,21.961315155029297,116.21918106079102
14.0,41.821685791015625,70,41.37574005126953,38.6864128112793,21.97620391845703,120.3083381652832
14.5,41.81081008911133,70,41.39386749267578,38.6864128112793,21.983562469482422,124.40293312072754
15.0,41.81454849243164,70,41.408485412597656,38.679237365722656,21.994714736938477,128.49565887451172
15.5,41.82542419433594,70,41.42660903930664,38.693809509277344,22.005754470825195,132.58294677734375
16.0,41.8400764465332,70,41.430389404296875,38.697608947753906,22.01326560974121,136.66290855407715
16.5,41.85457992553711,70,41.43400955200195,38.723114013671875,22.016942977905273,140.7356185913086
17.0,41.847328186035156,70,41.423133850097656,38.734039306640625,22.016942977905273,144.81195449829102
17.5,41.86183166503906,70,41.423133850097656,38.723114013671875,22.016942977905273,148.88103866577148
18.0,41.890987396240234,70,41.430538177490234,38.71961975097656,22.006059646606445,152.93554496765137
18.5,41.90186309814453,70,41.430538177490234,38.752410888671875,21.998701095581055,156.9846134185791
19.0,41.94186019897461,70,41.4524040222168,38.763450622558594,22.00985336303711,161.0136833190918
19.5,41.96738815307617,70,41.44892883300781,38.767250061035156,22.006324768066406,165.0299892425537
20.0,42.00727081298828,70,41.47793197631836,38.76360321044922,22.013683319091797,169.02635383605957
20.5,42.05440139770508,70,41.496063232421875,38.774532318115234,22.017364501953125,172.99915313720703
21.0,42.087032318115234,70,41.50693893432617,38.77089309692383,22.013683319091797,176.9556369781494
21.5,42.11966323852539,70,41.50693893432617,38.78546142578125,22.002647399902344,180.89580535888672
22.0,42.152442932128906,70,41.51796340942383,38.796539306640625,21.97704315185547,184.81958389282227
22.5,42.14530563354492,70,41.528953552246094,38.84766387939453,21.977157592773438,188.7469310760498
